,imdb_id,movie_name,release_year,audience_banded_rating_count,audience_rating_count,audience_liked_count,audience_not_liked_count,audience_review_count,audience_avg_rating,audience_score,tomato_banded_rating_count,tomato_rating_count,tomato_liked_count,tomato_not_liked_count,tomato_review_count,tomato_avg_rating,tomato_score
0,tt0255819,Baby Boy,2001,"50,000+",62708,7334,1061,2243,4.3,87.0,,93,66,27,93,6.20,71.0
1,tt0366182,Anokha Rishta,1986,0,0,0,0,0,,,,0,0,0,0,,
2,tt0367546,Bindiya Chamkegi,1984,0,0,0,0,0,,,,0,0,0,0,,
3,tt0255668,Vandanam,1989,0,0,0,0,0,,,,0,0,0,0,,
4,tt0120166,The Sorcerer's Apprentice,2001,250+,267,10,23,10,2.7,30.0,,0,0,0,0,,
5,tt0119548,Little City,1997,500+,892,27,15,18,3.8,64.0,,3,1,2,3,,
6,tt0094320,White of the Eye,1987,500+,510,62,47,34,3.4,57.0,,8,4,4,8,5.80,50.0
7,tt0099054,Archie: To Riverdale and Back Again,1990,Fewer than 50,42,8,10,4,3.3,44.0,,1,0,1,1,,
8,tt0097499,Henry V,1989,"10,000+",13524,2305,290,784,4.3,89.0,,42,41,1,42,8.20,98.0
9,tt0178022,Siam Sunset,1999,250+,330,31,20,22,3.5,60.0,,9,6,3,9,6.10,67.0
10,tt0166158,Daddy and Them,2001,"1,000+",1203,90,77,50,3.4,54.0,,7,6,1,7,6.30,86.0
11,tt0097670,Kinjite: Forbidden Subjects,1989,"1,000+",1625,42,78,55,3,35.0,,6,0,6,6,3.60,0.0
12,tt0402230,The Great New Wonderful,2005,"10,000+",18686,129,158,163,3,45.0,,41,30,11,41,6.60,73.0
13,tt0405393,Rudo y Cursi,2008,"10,000+",19424,1262,653,669,3.6,66.0,,112,82,30,112,6.40,73.0
14,tt0347167,The Hero: Love Story of a Spy,2003,250+,299,17,20,6,3.1,46.0,,6,3,3,6,5.30,50.0
15,tt0479879,Chasing Ghosts: Beyond the Arcade,2007,500+,653,132,76,65,3.6,63.0,,4,4,0,4,,
16,tt0097790,Loverboy,1989,"5,000+",8024,380,300,210,3.4,56.0,,10,5,5,10,4.80,50.0
17,tt0074653,The Human Tornado,1976,"1,000+",2042,121,54,96,3.8,69.0,,5,4,1,5,8.30,80.0
18,tt0488380,Closing the Ring,2007,"2,500+",3229,329,235,232,3.4,58.0,,19,6,13,19,4.60,32.0
19,tt1479388,The High Cost of Living,2010,500+,792,182,136,60,3.4,57.0,,15,8,7,15,5.50,53.0
20,tt0274789,Minsaara Kanavu,1997,0,0,0,0,0,,,,0,0,0,0,,
21,tt0450258,Alien Express,2005,Fewer than 50,10,0,1,1,,,,0,0,0,0,,
22,tt1792799,Chromeskull: Laid to Rest 2,2011,250+,329,69,143,75,2.8,33.0,,2,2,0,2,,
23,tt0114660,Things to Do in Denver When You're Dead,1995,"10,000+",13381,1508,580,584,3.8,72.0,,30,11,19,30,5.30,37.0
24,tt0368645,Cipher in the Snow,1974,0,0,0,0,0,,,,0,0,0,0,,
25,tt1756660,Oru Black & White Kudumbam,2009,0,0,0,0,0,,,,0,0,0,0,,
26,tt0087015,C.H.U.D.,1984,"5,000+",8907,337,697,429,2.8,33.0,,14,4,10,14,3.90,29.0
27,tt0469263,The Astronaut Farmer,2006,"250,000+",283607,3422,3514,3987,3.2,49.0,,137,80,57,137,6.00,58.0
28,tt0354104,Thiruthalvadhi,1992,0,0,0,0,0,,,,0,0,0,0,,
29,tt0096775,Agneekaal,1990,0,0,0,0,0,,,,0,0,0,0,,
30,tt0343449,The Bone Snatcher,2003,"2,500+",4361,27,118,57,2.3,19.0,,7,0,7,7,3.10,0.0
31,tt0092969,Enemy Territory,1987,50+,92,19,7,10,3.7,73.0,,1,0,1,1,,
32,tt1452628,Vanishing on 7th Street,2010,"10,000+",17226,837,3170,1125,2.4,21.0,,60,29,31,60,5.00,48.0
33,tt0392023,Gagamboy,2004,0,0,0,0,0,,,,0,0,0,0,,
34,tt1692889,Plug & Pray,2010,Fewer than 50,31,5,1,0,3.9,83.0,,0,0,0,0,,
35,tt1697920,Fly Away,2011,100+,216,45,27,17,3.6,62.0,,13,11,2,13,6.80,85.0
36,tt1578818,Tradition Is a Temple: The Modern Masters of New Orleans,2013,0,0,0,0,0,,,,0,0,0,0,,
37,tt2378334,Aval Varuvala,1998,0,0,0,0,0,,,,0,0,0,0,,
38,tt0106664,The Dark Half,1993,"5,000+",9024,361,576,302,3.1,39.0,,34,20,14,34,5.90,59.0
39,tt0461472,Boy Called Twist,2004,250+,475,13,8,15,3.9,62.0,,0,0,0,0,,
40,tt0065825,Hell Boats,1970,Fewer than 50,6,2,4,4,2.9,33.0,,0,0,0,0,,
41,tt0079094,Eagle's Wing,1979,100+,145,5,14,6,3,26.0,,1,1,0,1,,
42,tt0077928,Midnight Express,1978,"25,000+",31219,4957,604,1416,4.2,89.0,,30,27,3,30,7.50,90.0
43,tt0081764,Without Warning,1980,Fewer than 50,5,2,3,2,2.6,40.0,,0,0,0,0,,
44,tt0161292,Bleeder,1999,0,0,0,0,0,,,,0,0,0,0,,
45,tt0102517,Necessary Roughness,1991,"5,000+",9541,428,485,230,3.2,47.0,,31,11,20,31,4.60,35.0
46,tt0152930,Taxi,1998,"2,500+",3570,2894,675,925,3.9,81.0,,2,1,1,2,,
