,imdb_id,movie_name,release_year,audience_banded_rating_count,audience_rating_count,audience_liked_count,audience_not_liked_count,audience_review_count,audience_avg_rating,audience_score,tomato_banded_rating_count,tomato_rating_count,tomato_liked_count,tomato_not_liked_count,tomato_review_count,tomato_avg_rating,tomato_score
0,tt1694542,Tanu Weds Manu,2011,Fewer than 50,4,3,1,1,,,,0,0,0,0,,
1,tt0366450,Five Children and It,2004,"10,000+",12728,212,290,231,3.1,42.0,,8,5,3,8,5.40,63.0
2,tt5465142,The Lawnmower Man,1993,"25,000+",47187,616,1374,777,2.8,31.0,,41,15,26,41,4.80,37.0
3,tt0085706,I Am the Cheese,1983,500+,676,14,26,20,2.9,35.0,,3,0,3,3,,
4,tt1198186,Ayat-Ayat Cinta,2008,"1,000+",1124,89,30,77,3.9,75.0,,0,0,0,0,,
5,tt0099021,Always Remember I Love You,1990,0,0,0,0,0,,,,0,0,0,0,,
6,tt0096237,Tears in the Rain,1988,500+,588,14,7,9,3.4,67.0,,0,0,0,0,,
7,tt0816530,Imprint,2007,500+,514,62,44,51,3.5,58.0,,0,0,0,0,,
8,tt1095442,Goodbye Solo,2008,"2,500+",4940,919,206,389,3.9,82.0,,108,101,7,108,7.80,94.0
9,tt0371746,Iron Man,2008,"250,000+",1086677,223568,22505,83035,4.3,91.0,,281,263,18,281,7.70,94.0
10,tt1278180,Kenny Begins,2009,100+,158,9,23,10,2.9,28.0,,1,1,0,1,,
11,tt0100722,Sweet 15,1990,500+,657,10,25,15,2.4,29.0,,0,0,0,0,,
12,tt0171804,Boys Don't Cry,1999,Fewer than 50,37,7,1,0,4.1,88.0,,0,0,0,0,,
13,tt0110818,Pet Shop,1994,50+,55,12,7,9,3.4,63.0,,0,0,0,0,,
14,tt0465494,Hitman,2007,"250,000+",306589,25605,19653,18993,3.4,57.0,,105,17,88,105,3.90,16.0
15,tt0079278,Head Over Heels,1979,100+,128,19,2,6,4.1,90.0,,10,9,1,10,6.60,90.0
16,tt0262810,Tata Manavadu,1972,0,0,0,0,0,,,,0,0,0,0,,
17,tt0960792,Spirit of the Marathon,2007,500+,661,152,17,89,4.2,90.0,,8,7,1,8,6.60,88.0
18,tt1291051,Bam Margera Presents: Where the #$&% Is Santa?,2008,500+,725,117,102,82,3.3,53.0,,1,0,1,1,,
19,tt0299135,The Civilization of Maxwell Bright,2005,500+,510,43,19,33,3.7,69.0,,3,1,2,3,,
20,tt0281941,Juan Colorado,1966,0,0,0,0,0,,,,0,0,0,0,,
21,tt0259393,Lantana,2001,"5,000+",7504,1134,247,403,3.9,82.0,,106,96,10,106,7.50,91.0
22,tt1133993,Serious Moonlight,2009,"2,500+",3261,274,815,352,2.5,25.0,,38,9,29,38,4.00,24.0
23,tt1107816,Giallo,2009,"1,000+",1121,66,406,196,2.1,14.0,,1,0,1,1,,
24,tt0057162,The Householder,1963,100+,103,12,7,11,3.6,63.0,,2,1,1,2,,
25,tt0494864,Tenderness,2009,"1,000+",1779,159,557,231,2.5,22.0,,15,6,9,15,5.10,40.0
26,tt1674708,Ivory Tower,2010,50+,50,10,6,4,3.5,62.0,,0,0,0,0,,
27,tt0811007,Perarasu,2006,0,0,0,0,0,,,,0,0,0,0,,
28,tt0436091,Backstage,2005,"1,000+",1067,45,30,17,3.4,60.0,,21,15,6,21,6.20,71.0
29,tt1378320,Poi Solla Porom,2008,0,0,0,0,0,,,,0,0,0,0,,
30,tt0246460,Die Another Day,2002,"250,000+",430570,6940,10191,12247,3,41.0,,226,124,102,226,6.00,55.0
31,tt0282628,Jan Dara,2001,500+,619,43,82,42,2.9,34.0,,2,0,2,2,,
32,tt0760188,When Nietzsche Wept,2007,"1,000+",1268,205,152,138,3.3,57.0,,1,0,1,1,,
33,tt0106936,Fong Sai-Yuk,1993,"10,000+",11430,870,171,216,4,84.0,,9,8,1,9,7.20,89.0
34,tt0094746,Biloxi Blues,1988,"10,000+",10053,679,408,259,3.5,62.0,,28,21,7,28,6.50,75.0
35,tt0448179,Wild Things: Diamonds in the Rough,2005,"2,500+",3098,82,260,123,2.5,24.0,,3,1,2,3,,
36,tt0103111,Hard to Die,1990,"1,000+",1669,33,29,36,3.3,53.0,,4,2,2,4,,
37,tt0313911,Agent Cody Banks,2003,"250,000+",418396,1461,3173,4533,2.7,32.0,,103,39,64,103,5.20,38.0
38,tt0318680,Sethupathi I.P.S,1994,0,0,0,0,0,,,,0,0,0,0,,
39,tt0292123,Moonnam Mura,1988,0,0,0,0,0,,,,0,0,0,0,,
40,tt0073901,The Wilby Conspiracy,1975,"1,000+",1005,34,41,21,3.2,45.0,,6,4,2,6,6.00,67.0
41,tt0246460,Die Another Day,2002,"250,000+",430570,6940,10191,12247,3,41.0,,226,124,102,226,6.00,55.0
42,tt1500815,Jag Jeondeyan De Mele,2009,Fewer than 50,19,4,0,0,,,,0,0,0,0,,
43,tt0114857,Virtuosity,1995,"25,000+",30329,639,1391,629,2.8,31.0,,34,11,23,34,4.30,32.0
44,tt0225434,Coven,2000,100+,166,19,32,22,2.8,37.0,,7,3,4,7,5.40,43.0
45,tt0291311,Lil' Pimp,2005,"2,500+",2753,115,27,54,4.1,81.0,,1,0,1,1,,
46,tt0106307,Arizona Dream,1993,"25,000+",25476,4095,646,746,4.2,86.0,,15,13,2,15,6.80,87.0
47,tt0924262,Okkadunnadu,2007,100+,154,3,1,0,,,,0,0,0,0,,
48,tt0215679,Cowboys and Angels,2000,250+,311,23,15,8,3.6,61.0,,0,0,0,0,,
49,tt0076798,Tarantulas: The Deadly Cargo,1977,100+,201,4,26,9,2.3,13.0,,2,0,2,2,,
50,tt0468489,Half Nelson,2006,"50,000+",56645,12355,2627,5426,3.9,82.0,,159,145,14,159,7.60,91.0
51,tt0314938,Zakhmi Sipahi,1995,0,0,0,0,0,,,,0,0,0,0,,
52,tt0100904,Watchers II,1990,500+,506,9,33,19,2.4,21.0,,3,0,3,3,,
53,tt0113530,Karuththamma,1994,0,0,0,0,0,,,,0,0,0,0,,
54,tt1975210,Malai Malai,2008,0,0,0,0,0,,,,0,0,0,0,,
55,tt1178642,Cyrano Fernández,2007,0,0,0,0,0,,,,0,0,0,0,,
56,tt0338216,Lucky You,2007,"100,000+",207260,1701,4378,2937,2.7,28.0,,141,40,101,141,5.00,28.0
57,tt0343788,The Hillz,2004,"2,500+",3433,58,115,107,2.3,34.0,,0,0,0,0,,
58,tt0120703,How Stella Got Her Groove Back,1998,"25,000+",31369,991,511,630,3.7,66.0,,50,25,25,50,5.50,50.0
59,tt0102164,Johnny Stecchino,1991,"2,500+",4247,618,108,179,4.1,85.0,,13,6,7,13,5.20,46.0
60,tt0871867,Half Past Dead 2,2007,"2,500+",3207,113,125,104,3.1,47.0,,0,0,0,0,,
61,tt1891755,Billa 2,2012,250+,335,117,95,47,3.4,55.0,,0,0,0,0,,
62,tt0114089,Parallel Sons,1995,250+,296,5,10,4,2.8,33.0,,3,1,2,3,,
63,tt0984204,Love Lies Bleeding,2008,"1,000+",1756,99,218,155,2.8,31.0,,3,2,1,3,,
64,tt1043787,A Beautiful Life,2008,250+,472,109,54,36,3.6,67.0,,3,2,1,3,,
65,tt0085656,Heart Like a Wheel,1983,"1,000+",2173,72,16,35,4.1,82.0,,10,10,0,10,7.10,100.0
66,tt0065775,Getting Straight,1970,100+,131,11,16,9,3,41.0,,9,3,6,9,4.90,33.0
67,tt0091972,Slow Burn,1986,0,0,0,0,0,,,,0,0,0,0,,
68,tt0819810,Traffic Signal,2007,Fewer than 50,12,1,3,1,,,,2,1,1,2,,
69,tt0077921,The Medusa Touch,1978,"1,000+",1396,154,58,71,3.8,73.0,,4,3,1,4,,
70,tt4192214,Rang Milanti,2011,0,0,0,0,0,,,,0,0,0,0,,
71,tt0367136,13 Dead Men,2003,100+,138,9,4,7,2.9,69.0,,0,0,0,0,,
72,tt0103626,Afterburn,1992,100+,229,13,10,4,3.4,57.0,,1,0,1,1,,
73,tt2158504,Kimmy Dora and the Temple of Kiyeme,2012,Fewer than 50,31,7,9,5,3,44.0,,0,0,0,0,,
74,tt0073172,Inserts,1975,500+,613,46,37,29,3.2,55.0,,13,9,4,13,5.80,69.0
75,tt0238463,Timequest,2000,250+,486,5,3,4,3.2,62.0,,0,0,0,0,,
76,tt0054717,Canción de juventud,1962,0,0,0,0,0,,,,0,0,0,0,,
77,tt0090683,Babes in Toyland,1986,"2,500+",4808,273,273,208,3.3,50.0,,0,0,0,0,,
78,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,"1,000+",1838,23,133,62,1.8,15.0,,38,3,35,38,3.30,8.0
79,tt0840322,Forever Strong,2008,"5,000+",9904,938,320,368,3.9,75.0,,21,6,15,21,4.60,29.0
80,tt0369516,Hawa,2003,100+,102,2,6,2,2.4,25.0,,0,0,0,0,,
81,tt0058467,Phoolon Ki Sej,1964,0,0,0,0,0,,,,0,0,0,0,,
82,tt0138946,The Yards,2000,"5,000+",9006,734,696,288,3.3,51.0,,98,63,35,98,5.90,64.0
83,tt0098383,Staying Together,1989,"1,000+",1293,29,25,17,3.4,54.0,,5,4,1,5,5.90,80.0
84,tt0082474,The Great Muppet Caper,1981,"25,000+",35265,1688,467,801,3.9,78.0,,27,21,6,27,6.50,78.0
85,tt0790721,Normal Adolescent Behavior,2007,100+,136,13,30,6,2.9,30.0,,0,0,0,0,,
86,tt0088454,Zombie Island Massacre,1984,500+,873,6,36,20,2,14.0,,1,0,1,1,,
87,tt0079136,Fast Break,1979,100+,144,22,16,6,3.5,58.0,,4,2,2,4,,
88,tt1606392,Win Win,2011,0,0,0,0,0,,,,0,0,0,0,,
89,tt0080645,Don't Answer the Phone!,1980,"1,000+",1726,21,98,63,2.3,18.0,,1,0,1,1,,
90,tt0112495,Beyond Rangoon,1995,"5,000+",8047,263,106,111,3.7,71.0,,34,12,22,34,5.00,35.0
91,tt0318155,Looney Tunes: Back in Action,2003,"50,000+",63703,3701,3734,1384,3.3,50.0,,136,78,58,136,6.10,57.0
92,tt0091338,Killer Party,1986,250+,452,35,58,39,2.8,38.0,,1,0,1,1,,
93,tt0119506,Lawn Dogs,1997,"5,000+",5385,562,105,239,4,84.0,,18,13,5,18,6.50,72.0
