,genres,count,community
0,Drama,9065,1
1,Comedy,5134,2
2,Thriller,3498,3
3,Romance Film,3250,0
4,Action,2986,1
5,World cinema,2574,1
6,Indie,2186,4
7,Horror,2104,3
8,Crime Fiction,2082,3
9,Action/Adventure,1881,1
10,Adventure,1452,2
11,Family Film,1416,2
12,Romantic drama,1416,0
13,Science Fiction,1254,3
14,Musical,1144,2
15,Romantic comedy,1144,0
16,Fantasy,996,2
17,Mystery,989,3
18,Crime Thriller,893,3
19,Period piece,795,1
20,Animation,772,2
21,Comedy-drama,769,0
22,Bollywood,733,0
23,Short Film,728,2
24,Film adaptation,684,1
25,Documentary,666,4
26,Psychological thriller,654,3
27,Comedy film,642,0
28,Black comedy,559,3
29,Teen,556,0
30,War film,539,1
31,LGBT,523,0
32,Parody,499,2
33,Coming of age,481,0
34,Family Drama,464,0
35,Television movie,447,1
36,Cult,426,3
37,Children's/Family,422,2
38,Sports,416,0
39,Slasher,395,3
40,Biography,374,4
41,Suspense,367,3
42,Supernatural,337,3
43,Western,331,1
44,Japanese Movies,318,3
45,Martial Arts Film,300,2
46,Satire,295,0
47,Biographical film,294,1
48,Political drama,291,1
49,Action Thrillers,260,3
50,Children's,244,2
51,B-movie,219,3
52,Ensemble Film,213,0
53,Music,208,4
54,Slapstick,201,2
55,Buddy film,199,0
56,Chinese Movies,191,2
57,Biopic [feature],189,1
58,Gangster Film,188,3
59,Gay Themed,187,0
60,History,187,4
61,Black-and-white,185,3
62,Crime Drama,181,1
63,Road movie,172,0
64,Creature Film,171,3
65,Sex comedy,170,0
66,Costume drama,165,1
67,Art film,161,0
68,Melodrama,159,1
69,Gay,158,0
70,Gay Interest,157,0
71,Culture & Society,154,4
72,Docudrama,149,1
73,Superhero movie,144,2
74,Filipino Movies,137,1
75,Horror Comedy,136,3
76,Spy,135,3
77,Zombie Film,134,3
78,Children's Fantasy,133,2
79,Historical fiction,128,1
80,Disaster,128,3
81,Crime Comedy,127,0
82,Political cinema,125,4
83,Family-Oriented Adventure,122,2
84,Comedy of manners,121,0
85,Fantasy Comedy,117,2
86,Political thriller,109,3
87,Computer Animation,108,2
88,Erotic thriller,104,3
89,Fantasy Adventure,103,2
90,Domestic Comedy,102,0
91,Detective,100,3
92,Courtroom Drama,95,1
93,Monster movie,94,3
94,Heist,91,1
95,Comedy of Errors,91,0
96,Screwball comedy,88,0
97,Action Comedy,82,2
98,Erotica,80,0
99,Natural horror films,79,3
100,Animal Picture,77,2
101,Detective fiction,77,3
102,Social issues,76,4
103,Musical Drama,73,0
104,Superhero,71,2
105,Erotic Drama,70,0
106,Mockumentary,70,4
107,Stop motion,68,2
108,Doomsday film,68,3
109,Adventure Comedy,67,2
