,imdb_id,imdb_name,imdb_year,movie_name,release_year
0,tt0228333,Ghosts of Mars,2001,Ghosts of Mars,2001
1,tt0255819,Baby Boy,2001,Baby Boy,2001
2,tt0061637,Die Fahne von Kriwoj Rog,1967,Die Fahne von Kriwoj Rog,1967
3,tt0278891,Aaahh Belinda,1986,Aaah Belinda,1986
4,tt0097499,Henry V,1989,Henry V,1989
5,tt0367546,Bindiya Chamkegi,1984,Bindiya Chamkegi,1984
6,tt1849787,Karayilekku Oru Kadal Dooram,2011,Karayilekku Oru Kadal Dooram,2010
7,tt0255668,Vandanam,1989,Vandanam,1989
8,tt0178022,Siam Sunset,1999,Siam Sunset,1999
9,tt0094320,White of the Eye,1987,White Of The Eye,1987
10,tt0366182,Anokha Rishta,1986,Anokha Rishta,1986
11,tt0119548,Little City,1997,Little city,1997
12,tt0083949,Die flambierte Frau,1983,A Woman in Flames,1983
13,tt0153301,Troops,1997,Troops,1997
14,tt0099054,Archie: To Riverdale and Back Again,1990,Archie: To Riverdale and Back Again,1990
15,tt0166158,Daddy and Them,2001,Daddy and Them,2001
16,tt0097670,Kinjite: Forbidden Subjects,1989,Kinjite: Forbidden Subjects,1989
17,tt0479879,Chasing Ghosts: Beyond the Arcade,2007,Chasing Ghosts: Beyond the Arcade,2007
18,tt0402230,The Great New Wonderful,2005,The Great New Wonderful,2006
19,tt0097790,Loverboy,1989,Loverboy,1989
20,tt0255637,Terrorama!,2001,Terrorama,2001
21,tt0405393,Rudo y Cursi,2008,Rudo y Cursi,2008
22,tt0074653,The Human Tornado,1976,The Human Tornado,1976
23,tt0818080,Aftershock: Beyond the Civil War,2006,Aftershock: Beyond the Civil War,2007
24,tt0120166,The Sorcerer's Apprentice,2001,The Sorcerer's Apprentice,2002
25,tt0063787,Vixen!,1968,Vixen!,1968
26,tt0488380,Closing the Ring,2007,Closing the Ring,2007
27,tt0347167,The Hero: Love Story of a Spy,2003,The Hero: Love Story of a Spy,2003
28,tt1479388,The High Cost of Living,2010,The High Cost of Living,2011
29,tt0362718,Hermanas,2005,Hermanas,2005
