,community,color
0,0,[[0.96862745 0.98431373 1.         1.        ]]
1,1,[[0.77647059 0.85882353 0.9372549  1.        ]]
2,2,[[0.41960784 0.68235294 0.83921569 1.        ]]
3,3,[[0.12941176 0.44313725 0.70980392 1.        ]]
4,4,[[0.03137255 0.18823529 0.41960784 1.        ]]
