;year_film;year_award;ceremony;category;win;movie_name;people;country;award;imdb_id;imdb_name;year
0;1965;1966;23;Best Screenplay - Motion Picture;TRUE;Doctor Zhivago;['Robert Bolt'];;Golden Globe;tt0059113;Doctor Zhivago;1965
1;1965;1966;23;Best Screenplay - Motion Picture;FALSE;The Agony and The Ecstasy;['Philip Dunne'];;Golden Globe;tt0058886;The Agony and the Ecstasy;1965
2;1965;1966;23;Best Screenplay - Motion Picture;FALSE;The Collector;['John Kohn'];;Golden Globe;tt0844479;The Collector;1965
3;1965;1966;23;Best Screenplay - Motion Picture;FALSE;A Patch of Blue;['Guy Green'];;Golden Globe;tt0059573;A Patch of Blue;1965
4;1965;1966;23;Best Screenplay - Motion Picture;FALSE;The Slender Thread;['Stirling Silliphant'];;Golden Globe;tt0059729;The Slender Thread;1965
5;1966;1967;24;Best Screenplay - Motion Picture;TRUE;A Man for All Seasons;['Robert Bolt'];;Golden Globe;tt0060665;A Man for All Seasons;1966
6;1966;1967;24;Best Screenplay - Motion Picture;FALSE;The Sand Pebbles;['Robert Anderson'];;Golden Globe;tt0060934;The Sand Pebbles;1966
7;1966;1967;24;Best Screenplay - Motion Picture;FALSE;Who's Afraid of Virginia Woolf?;['Ernest Lehman'];;Golden Globe;tt0061184;Who's Afraid of Virginia Woolf?;1966
8;1966;1967;24;Best Screenplay - Motion Picture;FALSE;Alfie (1966);['Bill Naughton'];;Golden Globe;tt0060086;Alfie;1966
9;1966;1967;24;Best Screenplay - Motion Picture;FALSE;The  The Russians Are Coming Russians Are Coming;['William Rose'];;Golden Globe;tt0060921;The Russians Are Coming the Russians Are Coming;1966
10;1967;1968;25;Best Screenplay - Motion Picture;TRUE;In the Heat of the Night;['Stirling Silliphant'];;Golden Globe;tt0094484;In the Heat of the Night;1967
11;1967;1968;25;Best Screenplay - Motion Picture;FALSE;Bonnie and Clyde;['Robert Benton'];;Golden Globe;tt0061418;Bonnie and Clyde;1967
12;1967;1968;25;Best Screenplay - Motion Picture;FALSE;The Fox;['Lewis John Carlino'];;Golden Globe;tt0082406;The Fox and the Hound;1967
13;1967;1968;25;Best Screenplay - Motion Picture;FALSE;The Graduate;['Buck Henry'];;Golden Globe;tt0061722;The Graduate;1967
14;1967;1968;25;Best Screenplay - Motion Picture;FALSE;Guess Who's Coming To Dinner;['William Rose'];;Golden Globe;tt0061735;Guess Who's Coming to Dinner;1967
15;1968;1969;26;Best Screenplay - Motion Picture;TRUE;Charly;['Stirling Silliphant'];;Golden Globe;tt0062794;Charly;1968
16;1968;1969;26;Best Screenplay - Motion Picture;FALSE;The Fixer;['Dalton Trumbo'];;Golden Globe;tt1204507;The Fixer;1968
17;1968;1969;26;Best Screenplay - Motion Picture;FALSE;The Lion in Winter;['James Goldman'];;Golden Globe;tt0063227;The Lion in Winter;1968
18;1968;1969;26;Best Screenplay - Motion Picture;FALSE;The (1967) Producers;['Mel Brooks'];;Golden Globe;tt0063462;The Producers;1968
19;1968;1969;26;Best Screenplay - Motion Picture;FALSE;Rosemary's Baby;['Roman Polanski'];;Golden Globe;tt0063522;Rosemary's Baby;1968
20;1969;1970;27;Best Screenplay - Motion Picture;TRUE;Anne of the Thousand Days;['Bridget Boland'];;Golden Globe;tt0064030;Anne of the Thousand Days;1969
21;1969;1970;27;Best Screenplay - Motion Picture;FALSE;This Must Be Belgium If It's Tuesday;['David Shaw'];;Golden Globe;tt0064471;If It's Tuesday, This Must Be Belgium;1969
22;1969;1970;27;Best Screenplay - Motion Picture;FALSE;John and Mary;['John Mortimer'];;Golden Globe;tt0064513;John and Mary;1969
23;1969;1970;27;Best Screenplay - Motion Picture;FALSE;Midnight Cowboy;['Waldo Salt'];;Golden Globe;tt0064665;Midnight Cowboy;1969
24;1969;1970;27;Best Screenplay - Motion Picture;FALSE;Butch Cassidy and The Sundance Kid;['William Goldman'];;Golden Globe;tt0064115;Butch Cassidy and the Sundance Kid;1969
25;1970;1971;28;Best Screenplay - Motion Picture;TRUE;Love Story;['Erich Segal'];;Golden Globe;tt0066011;Love Story;1970
26;1970;1971;28;Best Screenplay - Motion Picture;FALSE;Scrooge;['Leslie Bricusse'];;Golden Globe;tt0044008;Scrooge;1970
27;1970;1971;28;Best Screenplay - Motion Picture;FALSE;Five Easy Pieces;['Carole Eastman'];;Golden Globe;tt0065724;Five Easy Pieces;1970
28;1970;1971;28;Best Screenplay - Motion Picture;FALSE;Husbands;['John Cassavetes'];;Golden Globe;tt15250710;Real Husbands of Hollywood;1970
29;1970;1971;28;Best Screenplay - Motion Picture;FALSE;M*A*S*H;['Ring Lardner Jr.'];;Golden Globe;tt0068098;M*A*S*H;1970
30;1971;1972;29;Best Screenplay - Motion Picture;TRUE;The Hospital;['Paddy Chayefsky'];;Golden Globe;tt0067217;The Hospital;1971
31;1971;1972;29;Best Screenplay - Motion Picture;FALSE;Queen of Scots Mary;['John Hale'];;Golden Globe;tt2328900;Mary Queen of Scots;1971
32;1971;1972;29;Best Screenplay - Motion Picture;FALSE;The French Connection;['Ernest Tidyman'];;Golden Globe;tt0067116;The French Connection;1971
33;1971;1972;29;Best Screenplay - Motion Picture;FALSE;Klute;['Andy Lewis'];;Golden Globe;tt0067309;Klute;1971
34;1971;1972;29;Best Screenplay - Motion Picture;FALSE;Kotch;['John Paxton'];;Golden Globe;tt0067314;Kotch;1971
35;1972;1973;30;Best Screenplay - Motion Picture;TRUE;The Godfather;['Francis Ford Coppola'];;Golden Globe;tt0068646;The Godfather;1972
36;1972;1973;30;Best Screenplay - Motion Picture;FALSE;Avanti!;['I. A. L. Diamond'];;Golden Globe;tt0068240;Avanti!;1972
37;1972;1973;30;Best Screenplay - Motion Picture;FALSE;Cabaret;['Jay Presson Allen'];;Golden Globe;tt0068327;Cabaret;1972
38;1972;1973;30;Best Screenplay - Motion Picture;FALSE;Deliverance;['James Dickey'];;Golden Globe;tt0068473;Deliverance;1972
39;1972;1973;30;Best Screenplay - Motion Picture;FALSE;Frenzy;['Anthony Shaffer'];;Golden Globe;tt0068611;Frenzy;1972
40;1972;1973;30;Best Screenplay - Motion Picture;FALSE;The Heartbreak Kid;['Neil Simon'];;Golden Globe;tt0408839;The Heartbreak Kid;1972
41;1973;1974;31;Best Screenplay - Motion Picture;TRUE;The Exorcist;['William Peter Blatty'];;Golden Globe;tt12921446;The Exorcist: Believer;1973
42;1973;1974;31;Best Screenplay - Motion Picture;FALSE;Cinderella Liberty;['Darryl Ponicsan'];;Golden Globe;tt0069883;Cinderella Liberty;1973
43;1973;1974;31;Best Screenplay - Motion Picture;FALSE;The Day of the Jackal;['Kenneth Ross'];;Golden Globe;tt0069947;The Day of the Jackal;1973
44;1973;1974;31;Best Screenplay - Motion Picture;FALSE;The Sting;['David S. Ward'];;Golden Globe;tt0070735;The Sting;1973
45;1973;1974;31;Best Screenplay - Motion Picture;FALSE;A Touch of Class;['Melvin Frank'];;Golden Globe;tt0070819;A Touch of Class;1973
46;1974;1975;32;Best Screenplay - Motion Picture;TRUE;Chinatown;['Robert Towne'];;Golden Globe;tt0071315;Chinatown;1974
47;1974;1975;32;Best Screenplay - Motion Picture;FALSE;The Conversation;['Francis Ford Coppola'];;Golden Globe;tt0071360;The Conversation;1974
48;1974;1975;32;Best Screenplay - Motion Picture;FALSE;The Godfather Part II;['Francis Ford Coppola'];;Golden Globe;tt0071562;The Godfather Part II;1974
49;1974;1975;32;Best Screenplay - Motion Picture;FALSE;The Towering Inferno;['Stirling Silliphant'];;Golden Globe;tt0072308;The Towering Inferno;1974
50;1974;1975;32;Best Screenplay - Motion Picture;FALSE;A Woman Under The Influence;['John Cassavetes'];;Golden Globe;tt0072417;A Woman Under the Influence;1974
