;year_film;year_award;ceremony;category;win;movie_name;people;country;award;imdb_id;imdb_name;year
51;1975;1976;33;Best Screenplay - Motion Picture;TRUE;One Flew Over The Cuckoo's Nest;['Bo Goldman'];;Golden Globe;tt0073486;One Flew Over the Cuckoo's Nest;1975
52;1975;1976;33;Best Screenplay - Motion Picture;FALSE;Dog Day Afternoon;['Frank Pierson'];;Golden Globe;tt0072890;Dog Day Afternoon;1975
53;1975;1976;33;Best Screenplay - Motion Picture;FALSE;Jaws;['Peter Benchley'];;Golden Globe;tt0073195;Jaws;1975
54;1975;1976;33;Best Screenplay - Motion Picture;FALSE;Nashville;['Joan Tewkesbury'];;Golden Globe;tt2281375;Nashville;1975
55;1975;1976;33;Best Screenplay - Motion Picture;FALSE;The Sunshine Boys;['Neil Simon'];;Golden Globe;tt0073766;The Sunshine Boys;1975
56;1976;1977;34;Best Screenplay - Motion Picture;TRUE;Network;['Paddy Chayefsky'];;Golden Globe;tt0074958;Network;1976
57;1976;1977;34;Best Screenplay - Motion Picture;FALSE;All The President's Men;['William Goldman'];;Golden Globe;tt0074119;All the President's Men;1976
58;1976;1977;34;Best Screenplay - Motion Picture;FALSE;Marathon Man;['William Goldman'];;Golden Globe;tt0074860;Marathon Man;1976
59;1976;1977;34;Best Screenplay - Motion Picture;FALSE;Rocky;['Sylvester Stallone'];;Golden Globe;tt0075148;Rocky;1976
60;1976;1977;34;Best Screenplay - Motion Picture;FALSE;Taxi Driver;['Paul Schrader'];;Golden Globe;tt0075314;Taxi Driver;1976
61;1976;1977;34;Best Screenplay - Motion Picture;FALSE;Voyage of the Damned;['David Butler'];;Golden Globe;tt0075406;Voyage of the Damned;1976
62;1977;1978;35;Best Screenplay - Motion Picture;TRUE;The Goodbye Girl;['Neil Simon'];;Golden Globe;tt0076095;The Goodbye Girl;1977
63;1977;1978;35;Best Screenplay - Motion Picture;FALSE;Annie Hall;['Woody Allen'];;Golden Globe;tt0075686;Annie Hall;1977
64;1977;1978;35;Best Screenplay - Motion Picture;FALSE;Close Encounters of the Third Kind;['Steven Spielberg'];;Golden Globe;tt0075860;Close Encounters of the Third Kind;1977
65;1977;1978;35;Best Screenplay - Motion Picture;FALSE;Julia;['Alvin Sargent'];;Golden Globe;nm0000210;Julia Roberts;1977
66;1977;1978;35;Best Screenplay - Motion Picture;FALSE;The Turning Point;['Arthur Laurents'];;Golden Globe;tt0076843;The Turning Point;1977
67;1978;1979;36;Best Screenplay - Motion Picture;TRUE;Midnight Express;['Oliver Stone'];;Golden Globe;tt0077928;Midnight Express;1978
68;1978;1979;36;Best Screenplay - Motion Picture;FALSE;Coming Home;['Robert C. Jones'];;Golden Globe;tt0077362;Coming Home;1978
69;1978;1979;36;Best Screenplay - Motion Picture;FALSE;The Deer Hunter;['Deric Washburn'];;Golden Globe;tt0077416;The Deer Hunter;1978
70;1978;1979;36;Best Screenplay - Motion Picture;FALSE;Foul Play;['Colin Higgins'];;Golden Globe;tt0077578;Foul Play;1978
71;1978;1979;36;Best Screenplay - Motion Picture;FALSE;Interiors;['Woody Allen'];;Golden Globe;tt0077742;Interiors;1978
72;1978;1979;36;Best Screenplay - Motion Picture;FALSE;An Unmarried Woman;['Paul Mazursky'];;Golden Globe;tt0078444;An Unmarried Woman;1978
73;1979;1980;37;Best Screenplay - Motion Picture;TRUE;Kramer vs. Kramer;['Robert Benton'];;Golden Globe;tt0079417;Kramer vs. Kramer;1979
74;1979;1980;37;Best Screenplay - Motion Picture;FALSE;Being There;['Robert C. Jones'];;Golden Globe;tt0078841;Being There;1979
75;1979;1980;37;Best Screenplay - Motion Picture;FALSE;Breaking Away;['Steve Tesich'];;Golden Globe;tt0078902;Breaking Away;1979
76;1979;1980;37;Best Screenplay - Motion Picture;FALSE;The China Syndrome;['James Bridges'];;Golden Globe;tt0078966;The China Syndrome;1979
77;1979;1980;37;Best Screenplay - Motion Picture;FALSE;Norma Rae;['Harriet Frank Jr.'];;Golden Globe;tt0079638;Norma Rae;1979
78;1980;1981;38;Best Screenplay - Motion Picture;TRUE;The Ninth Configuration;['William Peter Blatty'];;Golden Globe;tt0081237;The Ninth Configuration;1980
79;1980;1981;38;Best Screenplay - Motion Picture;FALSE;Raging Bull;['Mardik Martin'];;Golden Globe;tt0081398;Raging Bull;1980
80;1980;1981;38;Best Screenplay - Motion Picture;FALSE;The Stunt Man;['Lawrence B. Marcus'];;Golden Globe;tt0081568;The Stunt Man;1980
81;1980;1981;38;Best Screenplay - Motion Picture;FALSE;The Elephant Man;['Eric Bergren'];;Golden Globe;tt0080678;The Elephant Man;1980
82;1980;1981;38;Best Screenplay - Motion Picture;FALSE;Ordinary People;['Alvin Sargent'];;Golden Globe;tt0081283;Ordinary People;1980
83;1981;1982;39;Best Screenplay - Motion Picture;TRUE;On Golden Pond;['Ernest Thompson'];;Golden Globe;tt0082846;On Golden Pond;1981
84;1981;1982;39;Best Screenplay - Motion Picture;FALSE;Reds;['Warren Beatty'];;Golden Globe;tt0082979;Reds;1981
85;1981;1982;39;Best Screenplay - Motion Picture;FALSE;Absence of Malice;['Kurt Luedtke'];;Golden Globe;tt0081974;Absence of Malice;1981
86;1981;1982;39;Best Screenplay - Motion Picture;FALSE;The Four Seasons;['Alan Alda'];;Golden Globe;tt0082405;The Four Seasons;1981
87;1981;1982;39;Best Screenplay - Motion Picture;FALSE;The French Lieutenant's Woman;['Harold Pinter'];;Golden Globe;tt0082416;The French Lieutenant's Woman;1981
88;1982;1983;40;Best Screenplay - Motion Picture;TRUE;Gandhi;['John Briley'];;Golden Globe;tt0083987;Gandhi;1982
89;1982;1983;40;Best Screenplay - Motion Picture;FALSE;The Verdict;['David Mamet'];;Golden Globe;tt0084855;The Verdict;1982
90;1982;1983;40;Best Screenplay - Motion Picture;FALSE;E. T. The Extra-Terrestrial;['Melissa Mathison'];;Golden Globe;tt0083866;E.T. the Extra-Terrestrial;1982
91;1982;1983;40;Best Screenplay - Motion Picture;FALSE;Missing;['Constantin Costa-Gavras'];;Golden Globe;tt10855768;Missing;1982
92;1982;1983;40;Best Screenplay - Motion Picture;FALSE;Tootsie;['Larry Gelbart'];;Golden Globe;tt0084805;Tootsie;1982
93;1983;1984;41;Best Screenplay - Motion Picture;TRUE;Terms of Endearment;['James L. Brooks'];;Golden Globe;tt0086425;Terms of Endearment;1983
94;1983;1984;41;Best Screenplay - Motion Picture;FALSE;The Big Chill;['Barbara Benedek'];;Golden Globe;tt0085244;The Big Chill;1983
95;1983;1984;41;Best Screenplay - Motion Picture;FALSE;The Dresser;['Ronald Harwood'];;Golden Globe;tt4247618;The Dresser;1983
96;1983;1984;41;Best Screenplay - Motion Picture;FALSE;Educating Rita;['Willy Russell'];;Golden Globe;tt0085478;Educating Rita;1983
97;1983;1984;41;Best Screenplay - Motion Picture;FALSE;Reuben Reuben;['Julius J. Epstein'];;Golden Globe;nm0005349;Gloria Reuben;1983
98;1984;1985;42;Best Screenplay - Motion Picture;TRUE;Amadeus;['Peter Shaffer'];;Golden Globe;tt0086879;Amadeus;1984
99;1984;1985;42;Best Screenplay - Motion Picture;FALSE;The Killing Fields;['Bruce Robinson'];;Golden Globe;tt0087553;The Killing Fields;1984
100;1984;1985;42;Best Screenplay - Motion Picture;FALSE;A Passage to India;['David Lean'];;Golden Globe;tt0087892;A Passage to India;1984
101;1984;1985;42;Best Screenplay - Motion Picture;FALSE;Places in the Heart;['Robert Benton'];;Golden Globe;tt0087921;Places in the Heart;1984
102;1984;1985;42;Best Screenplay - Motion Picture;FALSE;A Soldier's Story;['Charles Fuller'];;Golden Globe;tt0088146;A Soldier's Story;1984
103;1985;1986;43;Best Screenplay - Motion Picture;TRUE;The Purple Rose of Cairo;['Woody Allen'];;Golden Globe;tt0089853;The Purple Rose of Cairo;1985
104;1985;1986;43;Best Screenplay - Motion Picture;FALSE;Back To The Future;['Bob Gale'];;Golden Globe;tt0088763;Back to the Future;1985
105;1985;1986;43;Best Screenplay - Motion Picture;FALSE;Out of Africa;['Kurt Luedtke'];;Golden Globe;tt0089755;Out of Africa;1985
106;1985;1986;43;Best Screenplay - Motion Picture;FALSE;Prizzi's Honor;['Richard Condon'];;Golden Globe;tt0089841;Prizzi's Honor;1985
107;1985;1986;43;Best Screenplay - Motion Picture;FALSE;Witness;['William Kelley'];;Golden Globe;tt0090329;Witness;1985
108;1986;1987;44;Best Screenplay - Motion Picture;TRUE;The Mission;['Robert Bolt'];;Golden Globe;tt28097834;The Mission;1986
109;1986;1987;44;Best Screenplay - Motion Picture;FALSE;Platoon;['Oliver Stone'];;Golden Globe;tt0091763;Platoon;1986
110;1986;1987;44;Best Screenplay - Motion Picture;FALSE;Blue Velvet;['David Lynch'];;Golden Globe;tt0090756;Blue Velvet;1986
111;1986;1987;44;Best Screenplay - Motion Picture;FALSE;Hannah and Her Sisters;['Woody Allen'];;Golden Globe;tt0091167;Hannah and Her Sisters;1986
112;1986;1987;44;Best Screenplay - Motion Picture;FALSE;Mona Lisa;['Neil Jordan'];;Golden Globe;tt0304415;Mona Lisa Smile;1986
113;1987;1988;45;Best Screenplay - Motion Picture;TRUE;The Last Emperor;['Bernardo Bertolucci'];;Golden Globe;tt0093389;The Last Emperor;1987
114;1987;1988;45;Best Screenplay - Motion Picture;FALSE;Moonstruck;['John Patrick Shanley'];;Golden Globe;tt0093565;Moonstruck;1987
115;1987;1988;45;Best Screenplay - Motion Picture;FALSE;Broadcast News;['James L. Brooks'];;Golden Globe;tt0092699;Broadcast News;1987
116;1987;1988;45;Best Screenplay - Motion Picture;FALSE;Hope and Glory;['John Boorman'];;Golden Globe;tt0093209;Hope and Glory;1987
117;1987;1988;45;Best Screenplay - Motion Picture;FALSE;House of Games;['David Mamet'];;Golden Globe;tt0093223;House of Games;1987
118;1988;1989;46;Best Screenplay - Motion Picture;TRUE;Running on Empty;['Naomi Foner'];;Golden Globe;tt0096018;Running on Empty;1988
119;1988;1989;46;Best Screenplay - Motion Picture;FALSE;A Cry in the Dark;['Robert Caswell'];;Golden Globe;tt1666540;A Cry in the Dark;1988
120;1988;1989;46;Best Screenplay - Motion Picture;FALSE;Mississippi Burning;['Chris Gerolmo'];;Golden Globe;tt0095647;Mississippi Burning;1988
121;1988;1989;46;Best Screenplay - Motion Picture;FALSE;Rain Man;['Ronald Bass'];;Golden Globe;tt0095953;Rain Man;1988
122;1988;1989;46;Best Screenplay - Motion Picture;FALSE;Working Girl;['Kevin Wade'];;Golden Globe;tt0096463;Working Girl;1988
123;1989;1990;47;Best Screenplay - Motion Picture;TRUE;Born on the Fourth of July;['Oliver Stone', 'Ron Kovic'];;Golden Globe;tt0096969;Born on the Fourth of July;1989
124;1989;1990;47;Best Screenplay - Motion Picture;FALSE;Dead Poets Society;['Tom Schulman'];;Golden Globe;tt0097165;Dead Poets Society;1989
125;1989;1990;47;Best Screenplay - Motion Picture;FALSE;Do The Right Thing;['Spike Lee'];;Golden Globe;tt0097216;Do the Right Thing;1989
126;1989;1990;47;Best Screenplay - Motion Picture;FALSE;Glory;['Kevin Jarre'];;Golden Globe;tt0097441;Glory;1989
127;1989;1990;47;Best Screenplay - Motion Picture;FALSE;and Videotape  Lies Sex;['Steven Soderbergh'];;Golden Globe;tt0098724;Sex, Lies, and Videotape;1989
128;1989;1990;47;Best Screenplay - Motion Picture;FALSE;When Harry Met Sally;['Nora Ephron'];;Golden Globe;tt0098635;When Harry Met Sally...;1989
129;1990;1991;48;Best Screenplay - Motion Picture;TRUE;Dances with Wolves;['Michael Blake'];;Golden Globe;tt0099348;Dances with Wolves;1990
130;1990;1991;48;Best Screenplay - Motion Picture;FALSE;Avalon;['Barry Levinson'];;Golden Globe;tt13261268;Avalon;1990
131;1990;1991;48;Best Screenplay - Motion Picture;FALSE;The Godfather Part III;['Francis Ford Coppola'];;Golden Globe;tt0099674;The Godfather Part III;1990
132;1990;1991;48;Best Screenplay - Motion Picture;FALSE;GoodFellas;['Nicholas Pileggi'];;Golden Globe;tt0099685;Goodfellas;1990
133;1990;1991;48;Best Screenplay - Motion Picture;FALSE;Reversal of Fortune;['Nicholas Kazan'];;Golden Globe;tt0100486;Reversal of Fortune;1990
134;1991;1992;49;Best Screenplay - Motion Picture;TRUE;Thelma & Louise;['Callie Khouri'];;Golden Globe;tt0103074;Thelma & Louise;1991
135;1991;1992;49;Best Screenplay - Motion Picture;FALSE;Bugsy;['James Toback'];;Golden Globe;tt0101516;Bugsy;1991
136;1991;1992;49;Best Screenplay - Motion Picture;FALSE;Grand Canyon;['Lawrence Kasdan'];;Golden Globe;tt0101969;Grand Canyon;1991
137;1991;1992;49;Best Screenplay - Motion Picture;FALSE;The Silence of the Lambs;['Ted Tally'];;Golden Globe;tt0102926;The Silence of the Lambs;1991
138;1991;1992;49;Best Screenplay - Motion Picture;FALSE;JFK;['Oliver Stone', 'Zachary Sklar'];;Golden Globe;tt0102138;JFK;1991
139;1992;1993;50;Best Screenplay - Motion Picture;TRUE;Scent of a Woman;['Bo Goldman'];;Golden Globe;tt0105323;Scent of a Woman;1992
140;1992;1993;50;Best Screenplay - Motion Picture;FALSE;A Few Good Men;['Aaron Sorkin'];;Golden Globe;tt0104257;A Few Good Men;1992
141;1992;1993;50;Best Screenplay - Motion Picture;FALSE;Howards End;['Ruth Prawer Jhabvala'];;Golden Globe;tt0104454;Howards End;1992
142;1992;1993;50;Best Screenplay - Motion Picture;FALSE;The Player;['Michael Tolkin'];;Golden Globe;tt0105151;The Player;1992
143;1992;1993;50;Best Screenplay - Motion Picture;FALSE;Unforgiven;['David Webb Peoples'];;Golden Globe;tt0105695;Unforgiven;1992
144;1993;1994;51;Best Screenplay - Motion Picture;TRUE;Schindler's List;['Steven Zaillian'];;Golden Globe;tt0108052;Schindler's List;1993
145;1993;1994;51;Best Screenplay - Motion Picture;FALSE;Philadelphia;['Ron Nyswaner'];;Golden Globe;tt0472954;It's Always Sunny in Philadelphia;1993
146;1993;1994;51;Best Screenplay - Motion Picture;FALSE;The Piano;['Jane Campion'];;Golden Globe;tt0107822;The Piano;1993
147;1993;1994;51;Best Screenplay - Motion Picture;FALSE;The  Remains of the Day;['Ruth Prawer Jhabvala'];;Golden Globe;tt0107943;The Remains of the Day;1993
148;1993;1994;51;Best Screenplay - Motion Picture;FALSE;Short Cuts;['Robert Altman'];;Golden Globe;tt0108122;Short Cuts;1993
149;1994;1995;52;Best Screenplay - Motion Picture;TRUE;Pulp Fiction;['Quentin Tarantino'];;Golden Globe;tt0110912;Pulp Fiction;1994
150;1994;1995;52;Best Screenplay - Motion Picture;FALSE;The Shawshank Redemption;['Frank Darabont'];;Golden Globe;tt0111161;The Shawshank Redemption;1994
151;1994;1995;52;Best Screenplay - Motion Picture;FALSE;Forrest Gump;['Eric Roth'];;Golden Globe;tt0109830;Forrest Gump;1994
152;1994;1995;52;Best Screenplay - Motion Picture;FALSE;Four Weddings and a Funeral;['Richard Curtis'];;Golden Globe;tt0109831;Four Weddings and a Funeral;1994
153;1994;1995;52;Best Screenplay - Motion Picture;FALSE;Quiz Show;['Paul Attanasio'];;Golden Globe;tt0110932;Quiz Show;1994
154;1995;1996;53;Best Screenplay - Motion Picture;TRUE;Sense and Sensibility;['Emma Thompson'];;Golden Globe;tt0114388;Sense and Sensibility;1995
155;1995;1996;53;Best Screenplay - Motion Picture;FALSE;Get Shorty;['Scott Frank'];;Golden Globe;tt0113161;Get Shorty;1995
156;1995;1996;53;Best Screenplay - Motion Picture;FALSE;Mr. Holland's Opus;['Patrick Sheane Duncan'];;Golden Globe;tt0113862;Mr. Holland's Opus;1995
157;1995;1996;53;Best Screenplay - Motion Picture;FALSE;Braveheart;['Randall Wallace'];;Golden Globe;tt0112573;Braveheart;1995
158;1995;1996;53;Best Screenplay - Motion Picture;FALSE;Dead Man Walking;['Tim Robbins'];;Golden Globe;tt0112818;Dead Man Walking;1995
159;1995;1996;53;Best Screenplay - Motion Picture;FALSE;The American President;['Aaron Sorkin'];;Golden Globe;tt0112346;The American President;1995
160;1996;1997;54;Best Screenplay - Motion Picture;TRUE;The People vs. Larry Flynt;['Scott Alexander'];;Golden Globe;tt0117318;The People vs. Larry Flynt;1996
161;1996;1997;54;Best Screenplay - Motion Picture;FALSE;The English Patient;['Anthony Minghella'];;Golden Globe;tt0116209;The English Patient;1996
162;1996;1997;54;Best Screenplay - Motion Picture;FALSE;Fargo;['Ethan Coen'];;Golden Globe;tt2802850;Fargo;1996
163;1996;1997;54;Best Screenplay - Motion Picture;FALSE;Lone Star;['John Sayles'];;Golden Globe;tt10323338;9-1-1: Lone Star;1996
164;1996;1997;54;Best Screenplay - Motion Picture;FALSE;Shine;['Jan Sardi'];;Golden Globe;tt0117631;Shine;1996
165;1997;1998;55;Best Screenplay - Motion Picture;TRUE;Good Will Hunting;['Ben Affleck', 'Matt Damon'];;Golden Globe;tt0119217;Good Will Hunting;1997
166;1997;1998;55;Best Screenplay - Motion Picture;FALSE;As Good as It Gets;['Mark Andrus'];;Golden Globe;tt0119822;As Good as It Gets;1997
167;1997;1998;55;Best Screenplay - Motion Picture;FALSE;L.A. Confidential;['Curtis Hanson'];;Golden Globe;tt0119488;L.A. Confidential;1997
168;1997;1998;55;Best Screenplay - Motion Picture;FALSE;Titanic;['James Cameron'];;Golden Globe;tt0120338;Titanic;1997
169;1997;1998;55;Best Screenplay - Motion Picture;FALSE;Wag the Dog;['Hilary Henkin'];;Golden Globe;tt0120885;Wag the Dog;1997
170;1998;1999;56;Best Screenplay - Motion Picture;TRUE;Shakespeare in Love;['Marc Norman'];;Golden Globe;tt0138097;Shakespeare in Love;1998
171;1998;1999;56;Best Screenplay - Motion Picture;FALSE;Bulworth;['Warren Beatty'];;Golden Globe;tt0118798;Bulworth;1998
172;1998;1999;56;Best Screenplay - Motion Picture;FALSE;Happiness;['Todd Solondz'];;Golden Globe;tt0147612;Happiness;1998
173;1998;1999;56;Best Screenplay - Motion Picture;FALSE;Saving Private Ryan;['Robert Rodat'];;Golden Globe;tt0120815;Saving Private Ryan;1998
174;1998;1999;56;Best Screenplay - Motion Picture;FALSE;The Truman Show;['Andrew M. Niccol'];;Golden Globe;tt0120382;The Truman Show;1998
175;1999;2000;57;Best Screenplay - Motion Picture;TRUE;American Beauty;['Alan Ball'];;Golden Globe;tt0169547;American Beauty;1999
176;1999;2000;57;Best Screenplay - Motion Picture;FALSE;The Insider;['Michael Mann'];;Golden Globe;tt0140352;The Insider;1999
177;1999;2000;57;Best Screenplay - Motion Picture;FALSE;The Sixth Sense;['M. Night Shyamalan'];;Golden Globe;tt0167404;The Sixth Sense;1999
178;1999;2000;57;Best Screenplay - Motion Picture;FALSE;Being John Malkovich;['Charlie Kaufman'];;Golden Globe;tt0120601;Being John Malkovich;1999
179;1999;2000;57;Best Screenplay - Motion Picture;FALSE;The Cider House Rules;['John Irving'];;Golden Globe;tt0124315;The Cider House Rules;1999
180;2000;2001;58;Best Screenplay - Motion Picture;TRUE;Traffic;['Stephen Gaghan'];;Golden Globe;tt0181865;Traffic;2000
181;2000;2001;58;Best Screenplay - Motion Picture;FALSE;Almost Famous;['Cameron Crowe'];;Golden Globe;tt0181875;Almost Famous;2000
182;2000;2001;58;Best Screenplay - Motion Picture;FALSE;Quills;['Douglas Wright'];;Golden Globe;tt0180073;Quills;2000
183;2000;2001;58;Best Screenplay - Motion Picture;FALSE;Wonder Boys;['Steve Kloves'];;Golden Globe;tt0185014;Wonder Boys;2000
184;2000;2001;58;Best Screenplay - Motion Picture;FALSE;You Can Count On Me;['Kenneth Lonergan'];;Golden Globe;tt0203230;You Can Count on Me;2000
185;2001;2002;59;Best Screenplay - Motion Picture;TRUE;A Beautiful Mind;['Akiva Goldsman'];;Golden Globe;tt0268978;A Beautiful Mind;2001
186;2001;2002;59;Best Screenplay - Motion Picture;FALSE;Memento;['Christopher Nolan'];;Golden Globe;tt0209144;Memento;2001
187;2001;2002;59;Best Screenplay - Motion Picture;FALSE;Mulholland Dr.;['David Lynch'];;Golden Globe;tt0166924;Mulholland Dr.;2001
