,imdb_id,domestic_distributor,domestic_opening,budget,releases,performance_domestic,performance_international,performance_worldwide,metric_roi,percentage_domestic,percentage_international
47,tt0072308,Twentieth Century Fox,,14000000.0,2.0,116000000.0,,116000000.0,7.285714285714286,1.0,
48,tt0071360,Paramount Pictures,,,5.0,4671805.0,24924.0,4696729.0,,0.9946933280587404,0.0053066719412595
49,tt0073195,Universal Pictures,7061513.0,7000000.0,5.0,265859065.0,210653000.0,476512065.0,67.07315214285714,0.5579272478651721,0.4420727521348279
50,tt0074860,Paramount Pictures,,,1.0,21709020.0,,21709020.0,,1.0,
51,tt0074119,Warner Bros.,,,2.0,70600000.0,414.0,70600414.0,,0.9999941360117236,5.863988276329371e-06
52,tt0075148,United Artists,,,2.0,117235147.0,15440.0,117250587.0,,0.9998683162242932,0.0001316837757068
53,tt0074958,Metro-Goldwyn-Mayer (MGM),,3800000.0,3.0,23689877.0,880.0,23690757.0,5.234409736842105,0.9999628547116498,3.71452883502203e-05
56,tt0075686,United Artists,,4000000.0,3.0,38251425.0,36603.0,38288028.0,8.572007,0.9990440092657684,0.0009559907342315
57,tt0075314,Columbia Pictures,,,7.0,28262574.0,310749.0,28573323.0,,0.9891245060996232,0.0108754939003769
58,tt0075406,AVCO Embassy Pictures,,,,,,,,,
59,tt0077928,Columbia Pictures,,2300000.0,1.0,35000000.0,,35000000.0,14.217391304347826,1.0,
60,tt0075860,Columbia Pictures,,20000000.0,6.0,135189114.0,171700000.0,306889114.0,14.3444557,0.4405145306001307,0.5594854693998693
61,tt0076843,Twentieth Century Fox,,,1.0,25933445.0,,25933445.0,,1.0,
62,tt0077416,Universal Pictures,,15000000.0,4.0,48979328.0,95051.0,49074379.0,2.2716252666666668,0.9980631237330584,0.0019368762669416
63,tt0077578,Paramount Pictures,,,1.0,44999621.0,,44999621.0,,1.0,
64,tt0078444,Twentieth Century Fox,,,,,,,,,
65,tt0078841,Metro-Goldwyn-Mayer (MGM),,,1.0,30177511.0,,30177511.0,,1.0,
66,tt0077742,United Artists,,10000000.0,1.0,10432366.0,,10432366.0,0.0432366,1.0,
67,tt0078966,Columbia Pictures,,,1.0,51718367.0,,51718367.0,,1.0,
68,tt0078902,Twentieth Century Fox,17702.0,,1.0,16424918.0,,16424918.0,,1.0,
69,tt0079417,Columbia Pictures,,,1.0,106260000.0,,106260000.0,,1.0,
70,tt0081398,Metro-Goldwyn-Mayer (MGM),128590.0,,5.0,23383987.0,20840.0,23404827.0,,0.9991095853859548,0.0008904146140452
71,tt0081568,Twentieth Century Fox,,,1.0,7063886.0,,7063886.0,,1.0,
72,tt0079638,Twentieth Century Fox,262778.0,,1.0,22228000.0,,22228000.0,,1.0,
74,tt0082846,Universal Pictures,89213.0,,2.0,119285432.0,,119285432.0,,1.0,
75,tt0080678,Paramount Pictures,,,3.0,26010864.0,12996.0,26023860.0,,0.9995006121305602,0.0004993878694398
76,tt0081283,Paramount Pictures,170335.0,,1.0,54766923.0,,54766923.0,,1.0,
77,tt0081974,Columbia Pictures,97667.0,,1.0,40716963.0,,40716963.0,,1.0,
78,tt0082405,Universal Pictures,4365643.0,,1.0,50427646.0,,50427646.0,,1.0,
79,tt0082979,Paramount Pictures,2325029.0,32000000.0,1.0,40382659.0,129.0,40382788.0,0.261962125,0.9999968055697392,3.1944302607338557e-06
80,tt0084855,Twentieth Century Fox,100982.0,,2.0,53977250.0,16488.0,53993738.0,,0.9996946312552022,0.0003053687447977
81,tt0085478,Columbia Pictures,73518.0,,1.0,14648076.0,,14648076.0,,1.0,
82,tt0084805,Columbia Pictures,5540470.0,21000000.0,2.0,177200000.0,271.0,177200271.0,7.438108142857143,0.9999984706569665,1.5293430335668053e-06
83,tt0083866,Universal Pictures,11835389.0,10500000.0,5.0,437141279.0,304203888.0,792910554.0,74.51529085714286,0.5513122215295926,0.3836547344027407
84,tt0082416,Metro-Goldwyn-Mayer (MGM),,,1.0,26890068.0,,26890068.0,,1.0,
85,tt0087553,Warner Bros.,32181.0,,1.0,34700291.0,,34700291.0,,1.0,
86,tt0085244,Columbia Pictures,3662152.0,,2.0,56399659.0,,56399659.0,,1.0,
87,tt0086425,Paramount Pictures,3498813.0,8000000.0,2.0,108423489.0,260.0,108423749.0,12.552968625,0.9999976020013844,2.397998615598507e-06
88,tt0086879,Orion Pictures,505276.0,,4.0,51973029.0,93762.0,52066791.0,,0.9981991976421208,0.0018008023578791
89,tt0087892,Columbia Pictures,84580.0,,3.0,27187653.0,13834.0,27201487.0,,0.9994914248621776,0.0005085751378224
90,tt0088763,Universal Pictures,11152500.0,19000000.0,6.0,212836762.0,170500000.0,383336762.0,19.17561905263158,0.555221369559124,0.4447786304408759
92,tt0088146,Columbia Pictures,156383.0,,1.0,21821347.0,,21821347.0,,1.0,
93,tt0090329,Paramount Pictures,4539990.0,,1.0,68706993.0,,68706993.0,,1.0,
94,tt0089841,Twentieth Century Fox,4234537.0,,1.0,26657534.0,,26657534.0,,1.0,
95,tt0087921,TriStar Pictures,274279.0,,1.0,34901614.0,,34901614.0,,1.0,
96,tt0089755,Universal Pictures,3637290.0,,3.0,87071205.0,140443000.0,227514205.0,,0.3827066753919826,0.6172933246080173
97,tt0089853,Orion Pictures,114095.0,,1.0,10631333.0,,10631333.0,,1.0,
98,tt0091167,Orion Pictures,1265826.0,,2.0,40084041.0,,40084041.0,,1.0,
99,tt28097834,Picturehouse Entertainment,30409.0,,1.0,58377.0,11453.0,69830.0,,0.83598739796649,0.1640126020335099
100,tt0090756,De Laurentiis Entertainment Group (DEG),789409.0,6000000.0,5.0,8551228.0,67538.0,8618766.0,0.436461,0.9921638434086736,0.0078361565913264
101,tt0091763,Orion Pictures,241080.0,6000000.0,1.0,138530565.0,15067.0,138545632.0,22.090938666666663,0.9998912488269568,0.0001087511730431
102,tt0093565,Metro-Goldwyn-Mayer (MGM),127599.0,,2.0,80640528.0,1689.0,80642217.0,,0.999979055635338,2.094436466199832e-05
103,tt0092699,Twentieth Century Fox,197542.0,,1.0,51249404.0,16081905.0,67331309.0,,0.7611526459406871,0.2388473540593128
104,tt0093389,Columbia Pictures,149460.0,,3.0,43984230.0,9639.0,43993869.0,,0.9997809012887682,0.0002190987112317
105,tt0095647,Orion Pictures,225034.0,,1.0,34603943.0,,34603943.0,,1.0,
106,tt0093223,Orion Pictures,116677.0,,1.0,2585639.0,,2585639.0,,1.0,
107,tt0095953,Metro-Goldwyn-Mayer (MGM),7005719.0,25000000.0,3.0,172825435.0,182000000.0,354825435.0,13.1930174,0.4870717202108129,0.5129282797891871
108,tt0093209,Columbia Pictures,25497.0,,1.0,10021120.0,,10021120.0,,1.0,
109,tt0096018,Warner Bros.,215157.0,,2.0,2835116.0,12825.0,2847941.0,,0.9954967465969274,0.0045032534030726
111,tt0097165,Walt Disney Studios Motion Pictures,340456.0,,2.0,95860116.0,140000000.0,235860116.0,,0.406427833691051,0.5935721663089489
112,tt0098724,Miramax,155982.0,,1.0,24741667.0,422.0,24742089.0,,0.9999829440432456,1.70559567545004e-05
113,tt0096463,Twentieth Century Fox,4718485.0,,1.0,63779477.0,39173635.0,102953112.0,,0.619500234242555,0.380499765757445
114,tt0096969,Universal Pictures,172021.0,,1.0,70001698.0,91000000.0,161001698.0,,0.4347885697453948,0.5652114302546052
115,tt0097216,Universal Pictures,3563535.0,,3.0,27545445.0,9750000.0,37295445.0,,0.7385739733096093,0.2614260266903907
116,tt0099685,Warner Bros.,6368901.0,,6.0,46909721.0,127063.0,47036784.0,,0.9972986460979136,0.0027013539020865
117,tt0098635,Columbia Pictures,1094453.0,,4.0,93117425.0,156140.0,93273565.0,,0.9983259994404632,0.0016740005595368
118,tt0103074,Metro-Goldwyn-Mayer (MGM),6101297.0,16500000.0,3.0,45360915.0,105074.0,45465989.0,1.755514484848485,0.9976889538243632,0.0023110461756369
119,tt0097441,TriStar Pictures,63661.0,,2.0,26979166.0,,26979166.0,,1.0,
120,tt0099348,Orion Pictures,598257.0,22000000.0,2.0,184208848.0,240000000.0,424208848.0,18.28222036363636,0.4342409378504995,0.5657590621495004
121,tt0101516,TriStar Pictures,140358.0,,1.0,49114016.0,,49114016.0,,1.0,
123,tt0100486,Warner Bros.,176985.0,,1.0,15445131.0,,15445131.0,,1.0,
124,tt0099674,Paramount Pictures,6387271.0,54000000.0,3.0,66761392.0,70100000.0,136861392.0,1.5344702222222222,0.4878029590697134,0.5121970409302866
125,tt0102926,Orion Pictures,13766814.0,19000000.0,3.0,130742922.0,142000000.0,272742922.0,13.354890631578948,0.4793632078195598,0.5206367921804401
126,tt0101969,Twentieth Century Fox,67546.0,,1.0,33243020.0,7748309.0,40991329.0,,0.8109768775733034,0.1890231224266966
127,tt0107822,Miramax,151419.0,,3.0,40157856.0,27700.0,40185556.0,,0.9993106976048808,0.0006893023951192
128,tt0104257,Columbia Pictures,15517468.0,41000000.0,1.0,141340178.0,101900000.0,243240178.0,4.932687268292683,0.5810724986395956,0.4189275013604043
129,tt0108052,Universal Pictures,656636.0,22000000.0,2.0,96898818.0,225262427.0,322161245.0,13.643692954545454,0.3007773886644869,0.6992226113355131
130,tt0105323,Universal Pictures,357468.0,,1.0,63095253.0,71000000.0,134095253.0,,0.4705256270331955,0.5294743729668044
131,tt0105151,New Line Cinema,302216.0,,1.0,21706101.0,,21706101.0,,1.0,
132,tt0104454,Sony Pictures Classics,52568.0,,3.0,26126837.0,214899.0,26341736.0,,0.9918418816436396,0.0081581183563604
133,tt0105695,Warner Bros.,15018007.0,,2.0,101167799.0,58000000.0,159167799.0,,0.6356046865987007,0.3643953134012992
134,tt0102138,Warner Bros.,5223658.0,,2.0,70405498.0,135000000.0,205405498.0,,0.3427634541700534,0.6572365458299466
135,tt0107943,Columbia Pictures,1528982.0,,2.0,23237911.0,,23237911.0,,1.0,
136,tt0110912,Miramax,9311882.0,8000000.0,5.0,107928762.0,106000000.0,213928762.0,25.74109525,0.5045079539141165,0.4954920460858835
137,tt0108122,Fine Line Features,,,1.0,6110979.0,,6110979.0,,1.0,
138,tt0109830,Paramount Pictures,24450602.0,55000000.0,5.0,330455270.0,347771195.0,678226465.0,11.331390272727273,0.4872344077578865,0.5127655922421134
139,tt0111161,Columbia Pictures,727327.0,25000000.0,5.0,28767189.0,117527.0,28884716.0,0.15538864,0.9959311699654584,0.0040688300345414
140,tt0109831,Gramercy Pictures (I),138486.0,4400000.0,2.0,52700832.0,193000000.0,245700832.0,54.84109818181818,0.2144918744109096,0.7855081255890904
141,tt0113161,Metro-Goldwyn-Mayer (MGM),12700007.0,,1.0,72101622.0,43000000.0,115101622.0,,0.6264170803778942,0.3735829196221057
142,tt0114388,Sony Pictures Entertainment (SPE),721341.0,,2.0,43182776.0,91400000.0,134582776.0,,0.3208640606432431,0.6791359393567569
143,tt0112573,Paramount Pictures,9938276.0,72000000.0,2.0,75609945.0,137606271.0,213216216.0,1.9613363333333331,0.3546162971019052,0.6453837028980948
145,tt0112818,Gramercy Pictures (I),118266.0,,1.0,39363635.0,,39363635.0,,1.0,
146,tt0110932,Walt Disney Studios Motion Pictures,757714.0,,1.0,24822619.0,,24822619.0,,1.0,
147,tt0112346,Sony Pictures Entertainment (SPE),10014558.0,,1.0,60079496.0,47800000.0,107879496.0,,0.556913020802396,0.443086979197604
148,tt0117318,Sony Pictures Entertainment (SPE),523295.0,,1.0,20300385.0,,20300385.0,,1.0,
149,tt0113862,Walt Disney Studios Motion Pictures,14466.0,,1.0,82569971.0,23700000.0,106269971.0,,0.7769830952527502,0.2230169047472498
150,tt0116209,Miramax,278439.0,27000000.0,1.0,78676425.0,153300000.0,231976425.0,7.591719444444444,0.339156985456604,0.660843014543396
151,tt0119217,Miramax,272912.0,,1.0,138433435.0,87500000.0,225933435.0,,0.6127177900871555,0.3872822099128444
152,tt0117631,Fine Line Features,162179.0,,2.0,35892330.0,106751.0,35999081.0,,0.9970346187448508,0.0029653812551492
153,tt0119822,Sony Pictures Entertainment (SPE),12606928.0,50000000.0,2.0,148478011.0,165700000.0,314178011.0,5.28356022,0.4725919886226538,0.5274080113773462
154,tt0120815,DreamWorks Distribution,30576104.0,70000000.0,4.0,217049603.0,265300000.0,482349603.0,5.890708614285714,0.4499839984319423,0.5500160015680576
155,tt0119488,Warner Bros.,5211198.0,,1.0,64616940.0,61600000.0,126216940.0,,0.5119514068396841,0.4880485931603159
156,tt0120382,Paramount Pictures,31542121.0,,2.0,125618201.0,138500511.0,264118712.0,,0.4756126517836418,0.5243873482163581
157,tt0120338,Paramount Pictures,28638131.0,200000000.0,5.0,674292608.0,1590450697.0,2264743305.0,10.323716525,0.2977346732900486,0.7022653267099513
158,tt0120885,New Line Cinema,92079.0,,1.0,43061945.0,21194568.0,64256513.0,,0.6701568913333346,0.3298431086666654
159,tt0124315,Miramax,110098.0,24000000.0,1.0,57545092.0,31000000.0,88545092.0,2.689378833333333,0.6498958971096896,0.3501041028903104
160,tt0138097,Miramax,224012.0,25000000.0,1.0,100317794.0,189000000.0,289317794.0,10.57271176,0.3467391086218499,0.65326089137815
161,tt0167404,Walt Disney Studios Motion Pictures,26681262.0,40000000.0,2.0,293506292.0,379300140.0,672806432.0,15.8201608,0.4362418045373264,0.5637581954626736
162,tt0120601,USA Films,637721.0,13000000.0,1.0,22863596.0,243071.0,23106667.0,0.7774359230769231,0.9894804819751806,0.0105195180248194
163,tt0169547,DreamWorks Distribution,861531.0,15000000.0,1.0,130096601.0,226200000.0,356296601.0,22.753106733333333,0.3651356780695194,0.6348643219304806
164,tt0181865,USA Films,184725.0,,1.0,124115725.0,83400000.0,207515725.0,,0.5981027461894756,0.4018972538105245
165,tt0118798,Twentieth Century Fox,141816.0,,1.0,26528185.0,2674699.0,29202884.0,,0.9084097652820864,0.0915902347179134
166,tt0140352,Walt Disney Studios Motion Pictures,6712361.0,90000000.0,1.0,29089912.0,31200000.0,60289912.0,-0.3301120888888889,0.4825004886389616,0.5174995113610383
167,tt0181875,DreamWorks Distribution,2314646.0,60000000.0,2.0,32534850.0,14851437.0,47386287.0,-0.21022855,0.6865878729852795,0.3134121270147205
168,tt0203230,Paramount Classics,118170.0,,1.0,9416804.0,1825717.0,11242521.0,,0.8376060849697323,0.1623939150302676
169,tt0180073,Fox Searchligh,249383.0,,1.0,7065332.0,10923895.0,17989227.0,,0.3927535074186345,0.6072464925813655
170,tt0185014,Paramount Pictures,5808919.0,55000000.0,1.0,19393557.0,14033031.0,33426588.0,-0.3922438545454545,0.5801835652505125,0.4198164347494874
171,tt0243133,USA Films,664404.0,,2.0,7504257.0,11412366.0,18916623.0,,0.3967017263070687,0.6032982736929313
172,tt0268126,Sony Pictures Entertainment (SPE),384478.0,19000000.0,2.0,22498520.0,10302653.0,32801173.0,0.7263775263157894,0.6859059583021619,0.314094041697838
173,tt0268978,Universal Pictures,367151.0,58000000.0,2.0,170742341.0,146048916.0,316791257.0,4.461918224137931,0.5389742842555785,0.4610257157444216
174,tt0209144,Newmarket Films,235488.0,9000000.0,2.0,25544867.0,14502211.0,40047078.0,3.449675333333333,0.6378709328056344,0.3621290671943656
175,tt0280707,USA Films,241219.0,19800000.0,1.0,41308615.0,46445429.0,87754044.0,3.432022424242424,0.4707317533993077,0.5292682466006923
176,tt0257360,New Line Cinema,282367.0,30000000.0,1.0,65016287.0,40818269.0,105834556.0,2.5278185333333334,0.6143200241705554,0.3856799758294446
177,tt0166924,Universal Pictures,587591.0,,4.0,7220243.0,13051710.0,20271953.0,,0.3561690874085985,0.6438309125914016
178,tt0297884,Focus Features,211279.0,13500000.0,1.0,15901849.0,13126065.0,29027914.0,1.150215851851852,0.5478123229936537,0.4521876770063464
179,tt0335266,Focus Features,925087.0,4000000.0,2.0,44585453.0,74101484.0,118686937.0,28.67173425,0.3756559409735209,0.624344059026479
180,tt0274558,Paramount Pictures,338622.0,25000000.0,2.0,41675994.0,67170078.0,108846072.0,3.35384288,0.382889278723811,0.617110721276189
181,tt0314331,Universal Pictures,6886080.0,40000000.0,4.0,60021055.0,188511927.0,248532982.0,5.21332455,0.2415013674120724,0.7584986325879275
183,tt0308644,Miramax,220524.0,25000000.0,1.0,51680613.0,64970000.0,116650613.0,3.66602452,0.4430376461030685,0.5569623538969315
184,tt0327056,Warner Bros.,640815.0,25000000.0,1.0,90135191.0,66460000.0,156595191.0,5.26380764,0.5755936081076717,0.4244063918923283
185,tt0159365,Miramax,14500000.0,79000000.0,1.0,95636509.0,77377000.0,173013509.0,1.190044417721519,0.5527690268394013,0.4472309731605987
186,tt0338013,Focus Features,8175198.0,20000000.0,2.0,34400301.0,39636414.0,74036715.0,2.70183575,0.4646384027168142,0.5353615972831858
187,tt0388795,Focus Features,547425.0,14000000.0,2.0,83043761.0,95018998.0,178062759.0,11.7187685,0.4663735497887011,0.5336264502112988
188,tt0375063,Fox Searchligh,207042.0,16000000.0,1.0,71503593.0,38203338.0,109706931.0,5.8566831875,0.6517691484779572,0.3482308515220428
189,tt0338751,Miramax,858021.0,110000000.0,1.0,102610330.0,111109612.0,213719942.0,0.9429085636363636,0.4801158424420684,0.5198841575579316
190,tt0376541,Sony Pictures Entertainment (SPE),7707972.0,27000000.0,2.0,33987757.0,81517270.0,115505027.0,3.277963962962963,0.2942534873395597,0.7057465126604403
191,tt0416320,DreamWorks Distribution,398593.0,15000000.0,1.0,23151529.0,62487127.0,85638656.0,4.7092437333333335,0.2703397050042448,0.7296602949957552
192,tt0404203,New Line Cinema,97953.0,26000000.0,1.0,5463019.0,9358639.0,14821658.0,-0.4299362307692307,0.3685835282395532,0.6314164717604468
193,tt0433383,Warner Independent Pictures (WIP),421446.0,7000000.0,1.0,31558003.0,23083188.0,54641191.0,6.805884428571429,0.5775496914040545,0.4224503085959455
194,tt0477348,Miramax,1202000.0,,3.0,74283625.0,97344115.0,171627740.0,,0.4328182903299897,0.5671817096700102
195,tt0465551,Fox Searchligh,414487.0,,1.0,17510118.0,32304274.0,49814392.0,,0.351507211008417,0.648492788991583
196,tt0375679,Lions Gate Films,9107071.0,6500000.0,1.0,54580300.0,43829761.0,98410061.0,14.140009384615384,0.5546211377716757,0.4453788622283244
197,tt1010048,Fox Searchligh,360018.0,15000000.0,2.0,141319928.0,237090614.0,378410542.0,24.227369466666666,0.373456635888331,0.626543364111669
198,tt0408306,Universal Pictures,4152260.0,70000000.0,2.0,47403685.0,83578444.0,130982129.0,0.8711732714285715,0.3619095624869557,0.6380904375130443
199,tt0449467,Paramount Vantage,389351.0,,2.0,34302837.0,101027345.0,135330182.0,,0.2534751412659742,0.7465248587340257
200,tt0918927,Miramax,507226.0,20000000.0,1.0,33446470.0,18253514.0,51699984.0,1.5849992,0.6469338559176343,0.3530661440823657
201,tt0472062,Universal Pictures,9656250.0,75000000.0,1.0,66661095.0,52822351.0,119483446.0,0.5931126133333333,0.5579107167699198,0.4420892832300802
202,tt0783233,Focus Features,784145.0,,1.0,50927067.0,78338994.0,129266061.0,,0.3939709047063792,0.6060290952936208
203,tt0407887,Warner Bros.,26887467.0,90000000.0,2.0,132399394.0,159081058.0,291480452.0,2.2386716888888887,0.4542307832018869,0.5457692167981131
204,tt0421715,Paramount Pictures,26853816.0,150000000.0,1.0,127509326.0,208293460.0,335802786.0,1.23868524,0.3797149139793021,0.6202850860206979
205,tt0870111,Universal Pictures,180708.0,25000000.0,1.0,18622031.0,8804304.0,27426335.0,0.0970534,0.678983575457676,0.321016424542324
206,tt1542344,Fox Searchligh,264851.0,18000000.0,1.0,18335230.0,42403567.0,60738797.0,2.374377611111111,0.301870153931432,0.698129846068568
207,tt1285016,Sony Pictures Entertainment (SPE),22445653.0,40000000.0,3.0,96962694.0,127957681.0,224920375.0,4.623009375,0.4310978674119675,0.5689021325880326
208,tt0361748,The Weinstein Company,38054676.0,70000000.0,3.0,120540719.0,200917028.0,321457747.0,3.5922535285714288,0.37498153373171,0.62501846626829
209,tt1230414,Universal Pictures,22100820.0,85000000.0,1.0,112735375.0,106368280.0,219103655.0,1.5776900588235294,0.5145298694355418,0.4854701305644582
210,tt0887912,Summit Entertainment,145352.0,15000000.0,2.0,17017811.0,32241955.0,49259766.0,2.2839844,0.3454708047131202,0.6545291952868798
211,tt1193138,Paramount Pictures,1181450.0,25000000.0,1.0,83823381.0,83019358.0,166842739.0,5.67370956,0.5024095234974535,0.4975904765025465
212,tt0842926,Focus Features,491971.0,4000000.0,2.0,20811365.0,13947586.0,34758951.0,7.68973775,0.5987339779039937,0.4012660220960063
213,tt0976051,The Weinstein Company,168051.0,32000000.0,1.0,34194407.0,74708079.0,108902486.0,2.4032026875,0.3139910598551442,0.6860089401448558
214,tt1136608,TriStar Pictures,37354308.0,30000000.0,1.0,115646235.0,95242715.0,210888950.0,6.029631666666667,0.5483750334002802,0.4516249665997199
215,tt1504320,The Weinstein Company,355450.0,15000000.0,3.0,138797449.0,345271412.0,484068861.0,31.2712574,0.2867307942784611,0.7132692057215388
216,tt1605783,Sony Pictures Classics,599003.0,17000000.0,1.0,56817045.0,94855273.0,151672318.0,7.921901058823529,0.3746039208024763,0.6253960791975237
217,tt1798709,Warner Bros.,260382.0,23000000.0,2.0,25568251.0,22949176.0,48517427.0,1.109453347826087,0.5269910747740189,0.4730089252259811
218,tt1655442,The Weinstein Company,204878.0,15000000.0,2.0,44671682.0,88799489.0,133471171.0,7.898078066666667,0.3346916166637962,0.6653083833362038
219,tt1790885,Sony Pictures Entertainment (SPE),417150.0,40000000.0,1.0,95720716.0,37100000.0,132820716.0,2.3205179,0.7206761029657452,0.2793238970342548
220,tt1375666,Warner Bros.,62785337.0,160000000.0,6.0,292587330.0,546443300.0,839030630.0,4.2439414375,0.3487206778136336,0.6512793221863664
221,tt1210166,Sony Pictures Entertainment (SPE),19501302.0,50000000.0,1.0,75605492.0,34600724.0,110206216.0,1.20412432,0.6860365480654921,0.3139634519345079
222,tt1124035,Sony Pictures Entertainment (SPE),10470143.0,,1.0,40962534.0,35375577.0,76338111.0,,0.5365934978401549,0.4634065021598452
223,tt1853728,The Weinstein Company,30122888.0,100000000.0,2.0,162805434.0,263268939.0,426074373.0,3.26074373,0.3821056705515588,0.6178943294484411
224,tt1045658,The Weinstein Company,443003.0,21000000.0,1.0,132092958.0,104319495.0,236412453.0,10.257735857142857,0.5587394247797937,0.4412605752202063
225,tt0443272,Walt Disney Studios Motion Pictures,944308.0,65000000.0,1.0,182207973.0,93085477.0,275293450.0,3.235283846153846,0.6618681737614898,0.3381318262385102
226,tt1033575,Fox Searchligh,1190096.0,,1.0,82584160.0,94659025.0,177243185.0,,0.4659370119082435,0.5340629880917566
227,tt1024648,Warner Bros.,19458109.0,44500000.0,1.0,136025503.0,96300000.0,232325503.0,4.220797820224719,0.5854953556261105,0.4145046443738895
228,tt2024544,Fox Searchligh,923715.0,20000000.0,2.0,56671993.0,131061209.0,187733202.0,8.3866601,0.3018751738970499,0.6981248261029501
229,tt1800241,Sony Pictures Entertainment (SPE),740455.0,40000000.0,1.0,150117807.0,101054000.0,251171807.0,5.279295175,0.5976698133162692,0.4023301866837308
230,tt2431286,The Weinstein Company,128435.0,12000000.0,1.0,37709979.0,62419893.0,100129872.0,7.344156,0.376610678180034,0.623389321819966
231,tt1821549,Paramount Pictures,140401.0,12000000.0,1.0,17654912.0,10027960.0,27682872.0,1.306906,0.6377557935462765,0.3622442064537234
232,tt1065073,IFC Films,387618.0,4000000.0,1.0,25352281.0,22785385.0,48137666.0,11.0344165,0.5266620321807874,0.4733379678192125
234,tt2267998,Twentieth Century Fox,37513109.0,61000000.0,2.0,167767189.0,201563174.0,369330363.0,5.054596114754099,0.4542469447604014,0.5457530552395986
236,tt2084970,The Weinstein Company,479352.0,,2.0,91125683.0,142430025.0,233555708.0,,0.3901667990918894,0.6098332009081106
237,tt0071733,,,,1.0,,3228.0,3228.0,,,1.0
238,tt2562232,Fox Searchligh,424397.0,18000000.0,1.0,42340598.0,60874496.0,103215094.0,4.734171888888889,0.4102171141751806,0.5897828858248194
240,tt2278388,Fox Searchligh,811166.0,25000000.0,3.0,59301324.0,115261956.0,174563280.0,5.9825312,0.339712475613428,0.660287524386572
241,tt0071129,,,,2.0,125493.0,71582.0,197075.0,,0.6367778764429786,0.3632221235570214
242,tt8206398,Shout! Studios,81647.0,,1.0,141143.0,351061.0,492204.0,,0.2867571169677613,0.7132428830322387
247,tt0077288,Metro-Goldwyn-Mayer (MGM),18709.0,,1.0,20424259.0,,20424259.0,,1.0,
249,tt7657566,20th Century Studios,12891123.0,,1.0,45630104.0,91677131.0,137307235.0,,0.3323211919604965,0.6676788080395035
