,imdb_id,domestic_distributor,domestic_opening,budget,releases,performance_domestic,performance_international,performance_worldwide,metric_roi,percentage_domestic,percentage_international
0,tt0059729,Paramount Pictures,,,,,,,,,
2,tt0064513,Twentieth Century Fox,,,,,,,,,
3,tt0060665,Columbia Pictures,,,,,,,,,
4,tt0060934,Twentieth Century Fox,,,,,,,,,
5,tt0058886,Twentieth Century Fox,,,,,,,,,
6,tt0061184,Warner Bros.,,,3.0,28000000.0,5068.0,28005068.0,,0.9998190327550712,0.0001809672449286
7,tt0061722,AVCO Embassy Pictures,,,5.0,104945305.0,69703.0,105015008.0,,0.9993362567757934,0.0006637432242065
8,tt0061735,Columbia Pictures,,4000000.0,2.0,56666667.0,,56666667.0,13.16666675,1.0,
9,tt0059113,Metro-Goldwyn-Mayer (MGM),,,5.0,111721910.0,200232.0,111922142.0,,0.9982109706227744,0.0017890293772254
10,tt0061418,Warner Bros.,,,2.0,,,,,,
14,tt0063462,Rialto Pictures,6091.0,,3.0,328673.0,46851.0,375524.0,,0.8752383336351338,0.1247616663648661
15,tt0063227,Embassy Pictures,,,2.0,18177.0,,18177.0,,1.0,
16,tt0064030,Universal Pictures,,,,,,,,,
17,tt0064115,Twentieth Century Fox,,,3.0,102308889.0,1934.0,102310823.0,,0.999981096819053,1.8903180946946342e-05
19,tt0063522,Paramount Pictures,,,2.0,,,,,,
20,tt0044008,United Artists,,,2.0,,24.0,24.0,,,1.0
21,tt0065724,Columbia Pictures,,,,,,,,,
22,tt0066011,Paramount Pictures,,,2.0,106550690.0,,106550690.0,,1.0,
23,tt0068240,,,,2.0,,22792.0,22792.0,,,1.0
24,tt0064665,United Artists,,,4.0,44785053.0,16124.0,44801177.0,,0.999640098741156,0.0003599012588441
28,tt0068327,,,,2.0,,108405.0,108405.0,,,1.0
29,tt0068611,Universal Pictures,,,3.0,,4121.0,4121.0,,,1.0
31,tt0068646,Paramount Pictures,302393.0,6000000.0,9.0,136381073.0,113960743.0,250341816.0,40.723636,0.5447794346910066,0.4552205653089933
32,tt0067116,Twentieth Century Fox,,,2.0,51700000.0,1871.0,51701871.0,,0.9999638117545108,3.61882454892203e-05
33,tt0067309,,,,2.0,,34050.0,34050.0,,,1.0
34,tt0068473,,,,2.0,,4534.0,4534.0,,,1.0
35,tt0069883,Twentieth Century Fox,,,,,,,,,
36,tt2328900,Focus Features,194777.0,,1.0,16468499.0,30244310.0,46712809.0,,0.3525478204489907,0.6474521795510092
37,tt0070735,Universal Pictures,,,1.0,156000000.0,,156000000.0,,1.0,
38,tt0073486,United Artists,,3000000.0,3.0,108981275.0,133542.0,109114817.0,35.37160566666667,0.9987761332175444,0.0012238667824554
40,tt0408839,DreamWorks,14022105.0,,1.0,36787257.0,91665926.0,128453183.0,,0.2863864961602392,0.7136135038397609
42,tt0071562,Paramount Pictures,,13000000.0,4.0,47834595.0,127324.0,47961919.0,2.6893783846153845,0.9973453105577365,0.0026546894422635
43,tt0072417,,,,2.0,,16626.0,16626.0,,,1.0
44,tt0071315,Paramount Pictures,,,4.0,29200000.0,26502.0,29226502.0,,0.999093220256054,0.000906779743946
45,tt0072890,Warner Bros.,,,1.0,50000000.0,,50000000.0,,1.0,
