,imdb_id,source_url,domestic_distributor,domestic_opening,budget,releases,performance_domestic,performance_international,performance_worldwide,metric_roi,percentage_domestic,percentage_international
95,tt0097971,https://www.boxofficemojo.com/title/tt0097971/,Trans World Entertainment (TWE),,,1.0,337812.0,,337812.0,,1.0,
96,tt0059262,https://www.boxofficemojo.com/title/tt0059262/,,,,,,,,,,
97,tt1054588,https://www.boxofficemojo.com/title/tt1054588/,Universal Pictures,2251075.0,,1.0,4442377.0,360576.0,4802953.0,,0.9249261860359658,0.07507381396403422
98,tt0112637,https://www.boxofficemojo.com/title/tt0112637/,Gramercy Pictures (I),151722.0,,1.0,3242342.0,,3242342.0,,1.0,
99,tt0372122,https://www.boxofficemojo.com/title/tt0372122/,TLA Releasing,66429.0,,1.0,309404.0,,309404.0,,1.0,
100,tt1128071,https://www.boxofficemojo.com/title/tt1128071/,The Samuel Goldwyn Company,97764.0,,1.0,141108.0,575247.0,716355.0,,0.19698054735431456,0.8030194526456854
101,tt0811128,https://www.boxofficemojo.com/title/tt0811128/,Screen Media Films,2722.0,,1.0,5149.0,,5149.0,,1.0,
102,tt2323202,https://www.boxofficemojo.com/title/tt2323202/,,,,,,,,,,
103,tt0089145,https://www.boxofficemojo.com/title/tt0089145/,,,,,,,,,,
104,tt1870425,https://www.boxofficemojo.com/title/tt1870425/,,,,,,,,,,
105,tt0094669,https://www.boxofficemojo.com/title/tt0094669/,Cannon Film Distributors,603650.0,,1.0,960040.0,,960040.0,,1.0,
106,tt0397314,https://www.boxofficemojo.com/title/tt0397314/,,,,,,,,,,
107,tt0114614,https://www.boxofficemojo.com/title/tt0114614/,Metro-Goldwyn-Mayer (MGM),2018183.0,25000000.0,1.0,4064495.0,,4064495.0,-0.8374202,1.0,
108,tt1028532,https://www.boxofficemojo.com/title/tt1028532/,,,,2.0,,46749646.0,46749646.0,,,1.0
109,tt0120510,https://www.boxofficemojo.com/title/tt0120510/,Miramax,95875.0,6000000.0,1.0,282175.0,,282175.0,-0.9529708333333333,1.0,
110,tt0499573,https://www.boxofficemojo.com/title/tt0499573/,,,,,,,,,,
111,tt0096427,https://www.boxofficemojo.com/title/tt0096427/,Cinecom Pictures,5465.0,,1.0,20998.0,,20998.0,,1.0,
112,tt0064405,https://www.boxofficemojo.com/title/tt0064405/,,,,,,,,,,
113,tt0106557,https://www.boxofficemojo.com/title/tt0106557/,Miramax,2719750.0,,1.0,6980986.0,,6980986.0,,1.0,
114,tt0120190,https://www.boxofficemojo.com/title/tt0120190/,Trimark Pictures,2487702.0,,1.0,7575028.0,,7575028.0,,1.0,
115,tt0163913,https://www.boxofficemojo.com/title/tt0163913/,,,,,,,,,,
116,tt0353213,https://www.boxofficemojo.com/title/tt0353213/,,,,,,,,,,
117,tt0123832,https://www.boxofficemojo.com/title/tt0123832/,,,,,,,,,,
118,tt0078400,https://www.boxofficemojo.com/title/tt0078400/,,,,,,,,,,
119,tt6449342,https://www.boxofficemojo.com/title/tt6449342/,,,,1.0,,60270.0,60270.0,,,1.0
120,tt0076716,https://www.boxofficemojo.com/title/tt0076716/,,,,,,,,,,
121,tt0075439,https://www.boxofficemojo.com/title/tt0075439/,,,,,,,,,,
122,tt0402399,https://www.boxofficemojo.com/title/tt0402399/,,,30000000.0,2.0,12712093.0,36622682.0,49334775.0,0.6444925,0.2576700309264611,0.7423299690735389
123,tt0146165,https://www.boxofficemojo.com/title/tt0146165/,,,,,,,,,,
124,tt1682246,https://www.boxofficemojo.com/title/tt1682246/,,,,,,,,,,
125,tt0388288,https://www.boxofficemojo.com/title/tt0388288/,Indican Pictures,10120.0,,2.0,14982.0,764866.0,779848.0,,0.019211436074722255,0.9807885639252778
126,tt2375671,https://www.boxofficemojo.com/title/tt2375671/,,,,,,,,,,
127,tt0955313,https://www.boxofficemojo.com/title/tt0955313/,,,,1.0,,22496.0,22496.0,,,1.0
128,tt0290563,https://www.boxofficemojo.com/title/tt0290563/,,,,,,,,,,
129,tt0114687,https://www.boxofficemojo.com/title/tt0114687/,,,,,,,,,,
130,tt3196334,https://www.boxofficemojo.com/title/tt3196334/,,,,,,,,,,
131,tt0194947,https://www.boxofficemojo.com/title/tt0194947/,,,,,,,,,,
132,tt6823074,https://www.boxofficemojo.com/title/tt6823074/,,,,,,,,,,
133,tt0091203,https://www.boxofficemojo.com/title/tt0091203/,Twentieth Century Fox,2453021.0,,2.0,5900000.0,712.0,5900712.0,,0.9998793365953126,0.00012066340468743433
134,tt0094154,https://www.boxofficemojo.com/title/tt0094154/,,,,,,,,,,
135,tt0084369,https://www.boxofficemojo.com/title/tt0084369/,,,,,,,,,,
136,tt0120725,https://www.boxofficemojo.com/title/tt0120725/,Walt Disney Studios Motion Pictures,3316377.0,,1.0,7571115.0,,7571115.0,,1.0,
137,tt0113808,https://www.boxofficemojo.com/title/tt0113808/,Walt Disney Studios Motion Pictures,71421.0,,1.0,5221281.0,,5221281.0,,1.0,
138,tt1396208,https://www.boxofficemojo.com/title/tt1396208/,,,,3.0,,5702135.0,5702135.0,,,1.0
139,tt1172570,https://www.boxofficemojo.com/title/tt1172570/,Magnolia Pictures,10940.0,,1.0,104979.0,2155733.0,2260712.0,,0.046436255480574264,0.9535637445194257
140,tt0090037,https://www.boxofficemojo.com/title/tt0090037/,International Spectrafil,16785.0,,1.0,16785.0,,16785.0,,1.0,
141,tt1319712,https://www.boxofficemojo.com/title/tt1319712/,,,,,,,,,,
142,tt1284028,https://www.boxofficemojo.com/title/tt1284028/,,,,1.0,,511064.0,511064.0,,,1.0
143,tt0756673,https://www.boxofficemojo.com/title/tt0756673/,,,,,,,,,,
144,tt2386342,https://www.boxofficemojo.com/title/tt2386342/,,,,,,,,,,
145,tt0206584,https://www.boxofficemojo.com/title/tt0206584/,,,,,,,,,,
146,tt0070656,https://www.boxofficemojo.com/title/tt0070656/,,,,,,,,,,
147,tt0061610,https://www.boxofficemojo.com/title/tt0061610/,,,,,,,,,,
148,tt1452626,https://www.boxofficemojo.com/title/tt1452626/,,,,3.0,,412174.0,412174.0,,,1.0
149,tt0090005,https://www.boxofficemojo.com/title/tt0090005/,,,,,,,,,,
150,tt0251972,https://www.boxofficemojo.com/title/tt0251972/,,,,,,,,,,
151,tt0929629,https://www.boxofficemojo.com/title/tt0929629/,,,,,,,,,,
152,tt0090994,https://www.boxofficemojo.com/title/tt0090994/,,,,,,,,,,
153,tt1507355,https://www.boxofficemojo.com/title/tt1507355/,,,,,,,,,,
154,tt1984153,https://www.boxofficemojo.com/title/tt1984153/,,,,1.0,,2757.0,2757.0,,,1.0
155,tt0109424,https://www.boxofficemojo.com/title/tt0109424/,Miramax / Rolling Thunde,32779.0,,6.0,600200.0,900026.0,1500226.0,,0.40007305565961393,0.5999269443403861
156,tt0090685,https://www.boxofficemojo.com/title/tt0090685/,Orion Pictures,8881035.0,,1.0,91258000.0,,91258000.0,,1.0,
157,tt2877914,https://www.boxofficemojo.com/title/tt2877914/,,,,,,,,,,
158,tt1512888,https://www.boxofficemojo.com/title/tt1512888/,,,,,,,,,,
159,tt3759954,https://www.boxofficemojo.com/title/tt3759954/,,,,,,,,,,
160,tt0117878,https://www.boxofficemojo.com/title/tt0117878/,,,,,,,,,,
161,tt0377100,https://www.boxofficemojo.com/title/tt0377100/,,,,1.0,,104502.0,104502.0,,,1.0
162,tt0158493,https://www.boxofficemojo.com/title/tt0158493/,Artisan Entertainment,3454776.0,,1.0,9639390.0,,9639390.0,,1.0,
163,tt0395169,https://www.boxofficemojo.com/title/tt0395169/,United Artists,100091.0,,1.0,23530892.0,10351351.0,33882243.0,,0.6944903854210597,0.3055096145789404
164,tt1024839,https://www.boxofficemojo.com/title/tt1024839/,,,,1.0,,2818022.0,2818022.0,,,1.0
165,tt1305656,https://www.boxofficemojo.com/title/tt1305656/,,,,,,,,,,
166,tt0371922,https://www.boxofficemojo.com/title/tt0371922/,,,,1.0,,1097628.0,1097628.0,,,1.0
167,tt0062288,https://www.boxofficemojo.com/title/tt0062288/,,,,,,,,,,
168,tt0258280,https://www.boxofficemojo.com/title/tt0258280/,,,,,,,,,,
169,tt2042633,https://www.boxofficemojo.com/title/tt2042633/,,,,,,,,,,
170,tt0109778,https://www.boxofficemojo.com/title/tt0109778/,,,,,,,,,,
171,tt0117799,https://www.boxofficemojo.com/title/tt0117799/,,,,,,,,,,
172,tt0215911,https://www.boxofficemojo.com/title/tt0215911/,,,,,,,,,,
173,tt0829193,https://www.boxofficemojo.com/title/tt0829193/,Emerging Pictures,9863.0,,1.0,267880.0,277045.0,544925.0,,0.4915905858604395,0.5084094141395605
174,tt0971209,https://www.boxofficemojo.com/title/tt0971209/,Universal Pictures,5948555.0,14000000.0,2.0,15515460.0,7440084.0,22955544.0,0.6396817142857143,0.6758916277479636,0.32410837225203637
175,tt0452968,https://www.boxofficemojo.com/title/tt0452968/,,,,,,,,,,
176,tt0119772,https://www.boxofficemojo.com/title/tt0119772/,,,,,,,,,,
177,tt0096953,https://www.boxofficemojo.com/title/tt0096953/,Columbia Pictures,15872.0,,1.0,43671.0,,43671.0,,1.0,
178,tt0851530,https://www.boxofficemojo.com/title/tt0851530/,,,,,,,,,,
179,tt1046163,https://www.boxofficemojo.com/title/tt1046163/,Lions Gate Films,8265357.0,20000000.0,1.0,19219250.0,22405437.0,41624687.0,1.08123435,0.4617271956903844,0.5382728043096155
180,tt0331370,https://www.boxofficemojo.com/title/tt0331370/,,,,4.0,,633761.0,633761.0,,,1.0
181,tt1401622,https://www.boxofficemojo.com/title/tt1401622/,,,,,,,,,,
182,tt0795505,https://www.boxofficemojo.com/title/tt0795505/,,,,,,,,,,
183,tt0404032,https://www.boxofficemojo.com/title/tt0404032/,Screen Gems,30054300.0,19000000.0,1.0,75072454.0,70094350.0,145166804.0,6.640358105263158,0.5171461514024929,0.4828538485975072
184,tt0103956,https://www.boxofficemojo.com/title/tt0103956/,Universal Pictures,5718940.0,,1.0,14960255.0,5600000.0,20560255.0,,0.727629837275851,0.2723701627241491
185,tt0186910,https://www.boxofficemojo.com/title/tt0186910/,,,,,,,,,,
186,tt0375791,https://www.boxofficemojo.com/title/tt0375791/,,,,,,,,,,
187,tt1185834,https://www.boxofficemojo.com/title/tt1185834/,Warner Bros.,14611273.0,,1.0,35161554.0,33121290.0,68282844.0,,0.514939799519774,0.485060200480226
188,tt0057812,https://www.boxofficemojo.com/title/tt0057812/,,,,,,,,,,
189,tt0829432,https://www.boxofficemojo.com/title/tt0829432/,Five & Two Pictures,58662.0,,1.0,84093.0,,84093.0,,1.0,
190,tt0115819,https://www.boxofficemojo.com/title/tt0115819/,,,,,,,,,,
191,tt1194238,https://www.boxofficemojo.com/title/tt1194238/,,,,,,,,,,
192,tt1042547,https://www.boxofficemojo.com/title/tt1042547/,,,,,,,,,,
193,tt1555991,https://www.boxofficemojo.com/title/tt1555991/,,,,,,,,,,
194,tt0055453,https://www.boxofficemojo.com/title/tt0055453/,,,,,,,,,,
195,tt2008006,https://www.boxofficemojo.com/title/tt2008006/,China Lion Film Distribution,43372.0,,2.0,191826.0,4584446.0,4776272.0,,0.0401622855649762,0.9598377144350237
196,tt1410051,https://www.boxofficemojo.com/title/tt1410051/,,,,1.0,,4498.0,4498.0,,,1.0
197,tt0322936,https://www.boxofficemojo.com/title/tt0322936/,Video Sound,49387.0,,1.0,95415.0,,95415.0,,1.0,
198,tt0164181,https://www.boxofficemojo.com/title/tt0164181/,Artisan Entertainment,5811664.0,12000000.0,1.0,21142914.0,,21142914.0,0.7619095,1.0,
199,tt0126810,https://www.boxofficemojo.com/title/tt0126810/,First Run,16459.0,,1.0,136049.0,,136049.0,,1.0,
200,tt1645170,https://www.boxofficemojo.com/title/tt1645170/,Paramount Pictures,17435092.0,65000000.0,1.0,59650222.0,119729311.0,179379533.0,1.759685123076923,0.3325363880839181,0.6674636119160818
201,tt0248317,https://www.boxofficemojo.com/title/tt0248317/,,,,,,,,,,
202,tt0256103,https://www.boxofficemojo.com/title/tt0256103/,Empire Pictures Inc.,33808.0,,1.0,405094.0,2267433.0,2672527.0,,0.1515771402870766,0.8484228597129234
203,tt0372401,https://www.boxofficemojo.com/title/tt0372401/,HB Filmworks,2386.0,,1.0,3252.0,,3252.0,,1.0,
204,tt1125849,https://www.boxofficemojo.com/title/tt1125849/,Fox Searchligh,202714.0,6000000.0,1.0,26238243.0,18496417.0,44734660.0,6.455776666666667,0.5865305112411718,0.41346948875882816
205,tt0061052,https://www.boxofficemojo.com/title/tt0061052/,,,,,,,,,,
206,tt0359013,https://www.boxofficemojo.com/title/tt0359013/,New Line Cinema,16100000.0,65000000.0,1.0,52411906.0,79565998.0,131977904.0,1.0304292923076923,0.39712637048698696,0.602873629513013
207,tt0072756,https://www.boxofficemojo.com/title/tt0072756/,,,,,,,,,,
208,tt0119094,https://www.boxofficemojo.com/title/tt0119094/,Paramount Pictures,23387530.0,80000000.0,2.0,112276146.0,133400000.0,245676146.0,2.070951825,0.45700874027875704,0.542991259721243
209,tt0285492,https://www.boxofficemojo.com/title/tt0285492/,,,,2.0,,3563603.0,3563603.0,,,1.0
210,tt1522133,https://www.boxofficemojo.com/title/tt1522133/,,,,,,,,,,
211,tt0131369,https://www.boxofficemojo.com/title/tt0131369/,Universal Pictures,8311290.0,80000000.0,1.0,22431897.0,12811000.0,35242897.0,-0.5594637875,0.636494128164322,0.363505871835678
212,tt2268746,https://www.boxofficemojo.com/title/tt2268746/,,,,,,,,,,
213,tt1307897,https://www.boxofficemojo.com/title/tt1307897/,,,,,,,,,,
214,tt0064963,https://www.boxofficemojo.com/title/tt0064963/,,,,,,,,,,
215,tt0452643,https://www.boxofficemojo.com/title/tt0452643/,,,,11.0,,6369805.0,6369805.0,,,1.0
216,tt1838630,https://www.boxofficemojo.com/title/tt1838630/,,,,,,,,,,
217,tt0134618,https://www.boxofficemojo.com/title/tt0134618/,Walt Disney Studios Motion Pictures,3102191.0,28000000.0,1.0,8891623.0,,8891623.0,-0.6824420357142857,1.0,
218,tt0055811,https://www.boxofficemojo.com/title/tt0055811/,,,,,,,,,,
219,tt2179888,https://www.boxofficemojo.com/title/tt2179888/,,,,,,,,,,
220,tt0825279,https://www.boxofficemojo.com/title/tt0825279/,,,,,,,,,,
221,tt1397492,https://www.boxofficemojo.com/title/tt1397492/,,,,,,,,,,
222,tt1300159,https://www.boxofficemojo.com/title/tt1300159/,,,,,,,,,,
223,tt0119225,https://www.boxofficemojo.com/title/tt0119225/,Gramercy Pictures (I),2678372.0,,1.0,5571205.0,,5571205.0,,1.0,
224,tt0225029,https://www.boxofficemojo.com/title/tt0225029/,,,,,,,,,,
225,tt1720258,https://www.boxofficemojo.com/title/tt1720258/,,,,,,,,,,
226,tt0093067,https://www.boxofficemojo.com/title/tt0093067/,TriStar Pictures,,,1.0,125400.0,,125400.0,,1.0,
227,tt0100791,https://www.boxofficemojo.com/title/tt0100791/,The Samuel Goldwyn Company,19295.0,,1.0,1161135.0,,1161135.0,,1.0,
228,tt0374848,https://www.boxofficemojo.com/title/tt0374848/,,,,1.0,,556166.0,556166.0,,,1.0
229,tt1740033,https://www.boxofficemojo.com/title/tt1740033/,,,,,,,,,,
230,tt0096223,https://www.boxofficemojo.com/title/tt0096223/,Avenue Pictures Productions,133330.0,,1.0,343786.0,,343786.0,,1.0,
231,tt1418749,https://www.boxofficemojo.com/title/tt1418749/,,,,,,,,,,
232,tt0353014,https://www.boxofficemojo.com/title/tt0353014/,Maxmedia/Endgame Picture,3022.0,,1.0,74663.0,122558.0,197221.0,,0.3785753038469534,0.6214246961530466
233,tt0083590,https://www.boxofficemojo.com/title/tt0083590/,Kino Lorber,4098.0,,1.0,22293.0,,22293.0,,1.0,
234,tt0485851,https://www.boxofficemojo.com/title/tt0485851/,THINKFilm,19487.0,,2.0,25775.0,2576323.0,2602098.0,,0.009905468587270733,0.9900945314127293
235,tt1334573,https://www.boxofficemojo.com/title/tt1334573/,,,,,,,,,,
236,tt0373400,https://www.boxofficemojo.com/title/tt0373400/,,,,,,,,,,
237,tt0120391,https://www.boxofficemojo.com/title/tt0120391/,October Films,5522.0,,1.0,91805.0,,91805.0,,1.0,
238,tt0829424,https://www.boxofficemojo.com/title/tt0829424/,,,,,,,,,,
239,tt0370242,https://www.boxofficemojo.com/title/tt0370242/,,,,,,,,,,
240,tt0102985,https://www.boxofficemojo.com/title/tt0102985/,,,,,,,,,,
241,tt0155487,https://www.boxofficemojo.com/title/tt0155487/,,,,,,,,,,
242,tt0260107,https://www.boxofficemojo.com/title/tt0260107/,,,,,,,,,,
243,tt1646981,https://www.boxofficemojo.com/title/tt1646981/,,,,,,,,,,
