,imdb_id,source_url,domestic_distributor,domestic_opening,budget,releases,performance_domestic,performance_international,performance_worldwide,metric_roi,percentage_domestic,percentage_international
0,tt0059729,https://www.boxofficemojo.com/title/tt0059729/,Paramount Pictures,,,,,,,,,
1,tt0059573,https://www.boxofficemojo.com/title/tt0059573/,,,,,,,,,,
2,tt0064513,https://www.boxofficemojo.com/title/tt0064513/,Twentieth Century Fox,,,,,,,,,
3,tt0060665,https://www.boxofficemojo.com/title/tt0060665/,Columbia Pictures,,,,,,,,,
4,tt0060934,https://www.boxofficemojo.com/title/tt0060934/,Twentieth Century Fox,,,,,,,,,
5,tt0058886,https://www.boxofficemojo.com/title/tt0058886/,Twentieth Century Fox,,,,,,,,,
6,tt0061184,https://www.boxofficemojo.com/title/tt0061184/,Warner Bros.,,,3.0,28000000.0,5068.0,28005068.0,,0.9998190327550713,0.0001809672449286679
7,tt0061722,https://www.boxofficemojo.com/title/tt0061722/,AVCO Embassy Pictures,,,5.0,104945305.0,69703.0,105015008.0,,0.9993362567757934,0.000663743224206582
8,tt0061735,https://www.boxofficemojo.com/title/tt0061735/,Columbia Pictures,,4000000.0,2.0,56666667.0,,56666667.0,13.16666675,1.0,
9,tt0059113,https://www.boxofficemojo.com/title/tt0059113/,Metro-Goldwyn-Mayer (MGM),,,5.0,111721910.0,200232.0,111922142.0,,0.9982109706227745,0.0017890293772254645
10,tt0061418,https://www.boxofficemojo.com/title/tt0061418/,Warner Bros.,,,2.0,,,,,,
11,tt0060086,https://www.boxofficemojo.com/title/tt0060086/,,,,,,,,,,
12,tt0060921,https://www.boxofficemojo.com/title/tt0060921/,,,,,,,,,,
13,tt0094484,https://www.boxofficemojo.com/title/tt0094484/,,,,,,,,,,
14,tt0063462,https://www.boxofficemojo.com/title/tt0063462/,Rialto Pictures,6091.0,,3.0,328673.0,46851.0,375524.0,,0.8752383336351338,0.12476166636486616
15,tt0063227,https://www.boxofficemojo.com/title/tt0063227/,Embassy Pictures,,,2.0,18177.0,,18177.0,,1.0,
16,tt0064030,https://www.boxofficemojo.com/title/tt0064030/,Universal Pictures,,,,,,,,,
17,tt0064115,https://www.boxofficemojo.com/title/tt0064115/,Twentieth Century Fox,,,3.0,102308889.0,1934.0,102310823.0,,0.999981096819053,1.8903180946946346e-05
18,tt0064471,https://www.boxofficemojo.com/title/tt0064471/,,,,,,,,,,
19,tt0063522,https://www.boxofficemojo.com/title/tt0063522/,Paramount Pictures,,,2.0,,,,,,
20,tt0044008,https://www.boxofficemojo.com/title/tt0044008/,United Artists,,,2.0,,24.0,24.0,,,1.0
21,tt0065724,https://www.boxofficemojo.com/title/tt0065724/,Columbia Pictures,,,,,,,,,
22,tt0066011,https://www.boxofficemojo.com/title/tt0066011/,Paramount Pictures,,,2.0,106550690.0,,106550690.0,,1.0,
